#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
#    r [Mpc/h]            Xi_L              E_0c_lin             E_0_lin             E_2_lin           E_0c_loop_22         E_0c_loop_13         E_0_loop_22         E_0_loop_13         E_2_loop            E_1_loop            E_3_loop            U10_lin             U10_loop            U20_loop            U11_loop            X10_loop            Y10_loop     #
#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
 1.002814727E-04     2.959880057E+02     1.075251633E+02     1.075267746E+02     2.333318350E-07     3.723247692E+00     1.931326039E+01     3.726636500E+00     1.932322223E+01     1.280565133E-05     1.280565133E-05     3.407402856E-08    -1.787241050E-09    -1.095857975E-02    -2.791800530E-01    -1.156993492E+00    -1.195921691E+00    -2.608278671E-03     5.823189968E-05
 1.008467971E-04     2.954997370E+02     1.075251633E+02     1.075267746E+02     2.355853214E-07     3.723247692E+00     1.931326039E+01     3.726636402E+00     1.932321616E+01     1.290483856E-05     1.290483856E-05     3.423383695E-08    -1.810968654E-09    -1.100231638E-02    -2.797645942E-01    -1.159337577E+00    -1.198374300E+00    -2.549134709E-03     5.859969198E-05
 1.014153084E-04     2.950122070E+02     1.075251633E+02     1.075267746E+02     2.378605294E-07     3.723247692E+00     1.931326039E+01     3.726636304E+00     1.932321010E+01     1.300479328E-05     1.300479328E-05     3.439405562E-08    -1.835011267E-09    -1.104622593E-02    -2.803503571E-01    -1.161686326E+00    -1.200831509E+00    -2.594431956E-03     5.896980725E-05
 1.019870246E-04     2.945254212E+02     1.075251633E+02     1.075267746E+02     2.401576721E-07     3.723247692E+00     1.931326039E+01     3.726636207E+00     1.932320403E+01     1.310552136E-05     1.310552136E-05     3.455476283E-08    -1.859373073E-09    -1.109030854E-02    -2.809373128E-01    -1.164039742E+00    -1.203293947E+00    -2.568311742E-03     5.934226016E-05
 1.025619639E-04     2.940393723E+02     1.075251633E+02     1.075267746E+02     2.424769542E-07     3.723247692E+00     1.931326039E+01     3.726636109E+00     1.932319796E+01     1.320702878E-05     1.320702878E-05     3.471603426E-08    -1.884058309E-09    -1.113456481E-02    -2.815254893E-01    -1.166397833E+00    -1.205761570E+00    -2.573205070E-03     5.971706548E-05
 1.031401442E-04     2.935540645E+02     1.075251633E+02     1.075267746E+02     2.448185860E-07     3.723247692E+00     1.931326039E+01     3.726636011E+00     1.932319189E+01     1.330932157E-05     1.330932157E-05     3.487765663E-08    -1.909071269E-09    -1.117899570E-02    -2.821148645E-01    -1.168760610E+00    -1.208233835E+00    -2.592989428E-03     6.009423808E-05
 1.037215840E-04     2.930694923E+02     1.075251633E+02     1.075267746E+02     2.471827901E-07     3.723247692E+00     1.931326039E+01     3.726635913E+00     1.932318583E+01     1.341240579E-05     1.341240579E-05     3.503982944E-08    -1.934416303E-09    -1.122360151E-02    -2.827054647E-01    -1.171128080E+00    -1.210711026E+00    -2.554740598E-03     6.047379289E-05
 1.043063016E-04     2.925856576E+02     1.075251633E+02     1.075267746E+02     2.495697865E-07     3.723247692E+00     1.931326039E+01     3.726635816E+00     1.932317976E+01     1.351628756E-05     1.351628756E-05     3.520241247E-08    -1.960097821E-09    -1.126838333E-02    -2.832972686E-01    -1.173500253E+00    -1.213193589E+00    -2.604932750E-03     6.085574496E-05
 1.048943155E-04     2.921025579E+02     1.075251633E+02     1.075267746E+02     2.519797790E-07     3.723247692E+00     1.931326039E+01     3.726635718E+00     1.932317369E+01     1.362097303E-05     1.362097303E-05     3.536545779E-08    -1.986120290E-09    -1.131334140E-02    -2.838903022E-01    -1.175877137E+00    -1.215681043E+00    -2.552709113E-03     6.124010945E-05
 1.054856442E-04     2.916201920E+02     1.075251633E+02     1.075267746E+02     2.544129939E-07     3.723247692E+00     1.931326039E+01     3.726635620E+00     1.932316763E+01     1.372646841E-05     1.372646841E-05     3.552886566E-08    -2.012488235E-09    -1.135847685E-02    -2.844845444E-01    -1.178258741E+00    -1.218173196E+00    -2.593539436E-03     6.162690158E-05
 1.060803064E-04     2.911385608E+02     1.075251633E+02     1.075267746E+02     2.568696603E-07     3.723247692E+00     1.931326039E+01     3.726635522E+00     1.932316156E+01     1.383277996E-05     1.383277996E-05     3.569288400E-08    -2.039206244E-09    -1.140378995E-02    -2.850800208E-01    -1.180645073E+00    -1.220670655E+00    -2.578985706E-03     6.201613668E-05
 1.066783210E-04     2.906576596E+02     1.075251633E+02     1.075267746E+02     2.593500115E-07     3.723247692E+00     1.931326039E+01     3.726635425E+00     1.932315549E+01     1.393991399E-05     1.393991399E-05     3.585730220E-08    -2.066278965E-09    -1.144928175E-02    -2.856767107E-01    -1.183036144E+00    -1.223173331E+00    -2.566081259E-03     6.240783019E-05
