# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.8529e+03 3.7809e-02 -2.3168e-02 5.7066e+03 2.0943e+03 -2.7525e-02 9.4502e+02 1.9655e-01 1.7101e-01 1.3031e-01 2.5193e+03 1.6790e+03 0.0000e+00 0.0000e+00
1.0842e-03 3.0723e+03 4.8733e-02 -2.9358e-02 6.1494e+03 2.3882e+03 -3.2231e-02 9.4502e+02 2.3111e-01 2.0102e-01 1.5295e-01 2.5191e+03 1.6788e+03 0.0000e+00 0.0000e+00
1.1756e-03 3.3077e+03 6.2639e-02 -3.7179e-02 6.6239e+03 2.6963e+03 -3.7717e-02 9.4501e+02 2.7177e-01 2.3628e-01 1.7946e-01 2.5189e+03 1.6786e+03 0.0000e+00 0.0000e+00
1.2746e-03 3.5602e+03 8.0309e-02 -4.7054e-02 7.1319e+03 3.0191e+03 -4.4102e-02 9.4500e+02 3.1959e-01 2.7770e-01 2.1051e-01 2.5187e+03 1.6783e+03 0.0000e+00 0.0000e+00
1.3819e-03 3.8308e+03 1.0272e-01 -5.9510e-02 7.6753e+03 3.3573e+03 -5.1521e-02 9.4499e+02 3.7585e-01 3.2634e-01 2.4686e-01 2.5185e+03 1.6780e+03 0.0000e+00 0.0000e+00
1.4983e-03 4.1203e+03 1.3110e-01 -7.5205e-02 8.2557e+03 3.7113e+03 -6.0126e-02 9.4498e+02 4.4203e-01 3.8343e-01 2.8937e-01 2.5182e+03 1.6776e+03 0.0000e+00 0.0000e+00
1.6246e-03 4.4298e+03 1.6697e-01 -9.4959e-02 8.8750e+03 4.0816e+03 -7.0081e-02 9.4496e+02 5.1991e-01 4.5042e-01 3.3905e-01 2.5178e+03 1.6772e+03 0.0000e+00 0.0000e+00
1.7614e-03 4.7600e+03 2.1223e-01 -1.1979e-01 9.5348e+03 4.4686e+03 -8.1565e-02 9.4495e+02 6.1156e-01 5.2898e-01 3.9706e-01 2.5174e+03 1.6767e+03 0.0000e+00 0.0000e+00
1.9098e-03 5.1118e+03 2.6924e-01 -1.5096e-01 1.0237e+04 4.8729e+03 -9.4771e-02 9.4493e+02 7.1942e-01 6.2105e-01 4.6473e-01 2.5169e+03 1.6761e+03 0.0000e+00 0.0000e+00
2.0706e-03 5.4858e+03 3.4093e-01 -1.9002e-01 1.0982e+04 5.2949e+03 -1.0989e-01 9.4490e+02 8.4639e-01 7.2883e-01 5.4359e-01 2.5163e+03 1.6754e+03 0.0000e+00 0.0000e+00
2.2450e-03 5.8825e+03 4.3092e-01 -2.3890e-01 1.1772e+04 5.7347e+03 -1.2713e-01 9.4487e+02 9.9589e-01 8.5490e-01 6.3534e-01 2.5157e+03 1.6746e+03 0.0000e+00 0.0000e+00
