#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.000000e-06 1.075461e+02 1.075465e+02 9.157990e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.234816e-09 5.432567e-08 1.961116e-07 -6.341087e-13 5.082199e+03 4.890849e+06 1.034706e+06 -2.238211e-03 -4.800680e-02 -2.164697e-01 -1.064610e-01 2.834631e-02 8.410960e-01 4.159936e-03 2.386051e-07 8.271983e-07 -1.434845e-07
1.002998e-06 1.075461e+02 1.075465e+02 9.198606e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.258548e-09 5.454799e-08 1.966111e-07 -6.380746e-13 5.075438e+03 4.877848e+06 1.031964e+06 -2.241591e-03 -4.808366e-02 -2.168148e-01 -1.066384e-01 2.839359e-02 8.413535e-01 4.159966e-03 2.396179e-07 8.299161e-07 -1.439658e-07
1.006005e-06 1.075461e+02 1.075465e+02 9.239402e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.282387e-09 5.477121e-08 1.971118e-07 -6.420653e-13 5.068686e+03 4.864881e+06 1.029229e+06 -2.244976e-03 -4.816065e-02 -2.171604e-01 -1.068160e-01 2.844095e-02 8.416111e-01 4.159996e-03 2.406351e-07 8.326429e-07 -1.444487e-07
1.009021e-06 1.075461e+02 1.075465e+02 9.280379e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.306335e-09 5.499534e-08 1.976138e-07 -6.460810e-13 5.061943e+03 4.851949e+06 1.026501e+06 -2.248367e-03 -4.823776e-02 -2.175065e-01 -1.069939e-01 2.848839e-02 8.418688e-01 4.160026e-03 2.416565e-07 8.353787e-07 -1.449331e-07
1.012047e-06 1.075461e+02 1.075465e+02 9.321537e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.330391e-09 5.522039e-08 1.981170e-07 -6.501217e-13 5.055209e+03 4.839051e+06 1.023781e+06 -2.251763e-03 -4.831499e-02 -2.178532e-01 -1.071721e-01 2.853591e-02 8.421265e-01 4.160057e-03 2.426823e-07 8.381234e-07 -1.454193e-07
1.015081e-06 1.075461e+02 1.075465e+02 9.362878e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.354557e-09 5.544636e-08 1.986215e-07 -6.541878e-13 5.048484e+03 4.826187e+06 1.021067e+06 -2.255163e-03 -4.839235e-02 -2.182005e-01 -1.073506e-01 2.858351e-02 8.423844e-01 4.160087e-03 2.437124e-07 8.408772e-07 -1.459070e-07
1.018124e-06 1.075461e+02 1.075465e+02 9.404403e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.378832e-09 5.567326e-08 1.991272e-07 -6.582792e-13 5.041768e+03 4.813357e+06 1.018361e+06 -2.258569e-03 -4.846983e-02 -2.185483e-01 -1.075294e-01 2.863119e-02 8.426423e-01 4.160117e-03 2.447469e-07 8.436400e-07 -1.463964e-07
1.021177e-06 1.075461e+02 1.075465e+02 9.446111e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.403217e-09 5.590109e-08 1.996342e-07 -6.623963e-13 5.035061e+03 4.800562e+06 1.015663e+06 -2.261980e-03 -4.854744e-02 -2.188966e-01 -1.077085e-01 2.867894e-02 8.429003e-01 4.160147e-03 2.457858e-07 8.464119e-07 -1.468874e-07
1.024238e-06 1.075461e+02 1.075465e+02 9.488005e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.427712e-09 5.612985e-08 2.001424e-07 -6.665391e-13 5.028363e+03 4.787800e+06 1.012971e+06 -2.265396e-03 -4.862517e-02 -2.192455e-01 -1.078880e-01 2.872678e-02 8.431583e-01 4.160177e-03 2.468291e-07 8.491928e-07 -1.473801e-07
1.027309e-06 1.075461e+02 1.075465e+02 9.530084e-10 3.755308e+00 1.947944e+01 3.755973e+00 1.948246e+01 5.452319e-09 5.635954e-08 2.006518e-07 -6.707078e-13 5.021674e+03 4.775073e+06 1.010286e+06 -2.268818e-03 -4.870302e-02 -2.195950e-01 -1.080677e-01 2.877469e-02 8.434165e-01 4.160208e-03 2.478768e-07 8.519830e-07 -1.478744e-07
