# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.450016755810e-10       7.018458087689e-15       4.475427510736e-13       2.241515506207e-19       8.097268554826e-09       4.848285066394e-10      -2.378468345278e-12 
    3       1.359062114313e-10       1.178217132644e-14       5.661637755901e-13       4.485219653660e-19       4.998317681244e-09       3.440615417378e-10      -2.085726303051e-12 
    4       1.272142799288e-10       1.360280819626e-14       5.858427263415e-13       7.480148181962e-19       3.475357012661e-09       2.610956298627e-10      -1.654412079922e-12 
    5       1.204171402994e-10       1.241582178453e-14       5.478331980694e-13       1.122899556190e-18       2.593178235864e-09       2.067348156273e-10      -1.217597431114e-12 
    6       1.154315603154e-10       9.438628509126e-15       4.808365600121e-13       1.573494510202e-18       2.025756639572e-09       1.685792236291e-10      -8.213517263725e-13 
    7       1.119421297301e-10       6.158849117631e-15       4.043606005133e-13       2.100155705792e-18       1.634672356205e-09       1.404727784825e-10      -4.889593068813e-13 
    8       1.095817245668e-10       3.597440530263e-15       3.302241216136e-13       2.703264504451e-18       1.351383770877e-09       1.190138090616e-10      -2.304043779802e-13 
    9       1.081246809891e-10       2.088851301442e-15       2.653324125460e-13       3.383214582536e-18       1.138392793715e-09       1.022081722885e-10      -4.660224929692e-14 
   10       1.073842954636e-10       1.443592400292e-15       2.132953516147e-13       4.140398781767e-18       9.733863347397e-10       8.880282824466e-11       6.836559428733e-14 
   11       1.071718931135e-10       1.263705950371e-15       1.755675858995e-13       4.975196369288e-18       8.205598156082e-10       7.813684564250e-11       1.244283774540e-13 
   12       1.073322199054e-10       1.208583706515e-15       1.519059340031e-13       5.887961227037e-18       7.170162481393e-10       6.917161934371e-11       1.368970265214e-13 
   13       1.078567456744e-10       1.113417005418e-15       1.404907594835e-13       6.879011450156e-18       6.320060951241e-10       6.147369874155e-11       1.181538009380e-13 
   14       1.086331860885e-10       9.701243005769e-16       1.385854367435e-13       7.948620774122e-18       5.612673585248e-10       5.517319091580e-11       8.214622861343e-14 
   15       1.095872426735e-10       8.410853183088e-16       1.432805933762e-13       9.097012172608e-18       5.017265113100e-10       4.991779818188e-11       3.987726687169e-14 
   16       1.107413929676e-10       7.788373392488e-16       1.517486228010e-13       1.032435387598e-17       4.511009881168e-10       4.529386922272e-11      -2.934288688270e-16 
   17       1.120156446920e-10       7.905226388146e-16       1.616338750192e-13       1.163075795773e-17       4.076675693988e-10       4.123997589736e-11      -3.244322931249e-14 
   18       1.133879657457e-10       8.439993196436e-16       1.712681931620e-13       1.301628025486e-17       3.699669182268e-10       3.770460550806e-11      -5.354021785735e-14 
   19       1.148810611414e-10       9.098298508605e-16       1.798341750845e-13       1.448093045487e-17       3.374029325407e-10       3.464720325074e-11      -6.319270857421e-14 
   20       1.164656647613e-10       9.611605241934e-16       1.867523723051e-13       1.602466429818e-17       3.087214763350e-10       3.195192848623e-11      -6.273903914517e-14 
   21       1.181292080080e-10       1.005495551918e-15       1.921676626855e-13       1.764741022689e-17       2.834724577361e-10       2.954676207463e-11      -5.456350589496e-14 
   22       1.198360080665e-10       1.064263109550e-15       1.965683191786e-13       1.934905992471e-17       2.610520900757e-10       2.734338385690e-11      -4.210616638600e-14 
   23       1.215957118536e-10       1.154260896815e-15       2.004430468895e-13       2.112949924962e-17       2.411524429601e-10       2.535709041478e-11      -2.816287083699e-14 
   24       1.234109320712e-10       1.289211938892e-15       2.043313340271e-13       2.298859874391e-17       2.233137836285e-10       2.360708014774e-11      -1.555023060201e-14 
   25       1.252787900878e-10       1.466957657279e-15       2.086331195633e-13       2.492624880379e-17       2.073260495724e-10       2.205456600618e-11      -5.909619234455e-15 
   26       1.271806433958e-10       1.679029657303e-15       2.136583990847e-13       2.694234818245e-17       1.928996656994e-10       2.062975788184e-11      -3.626775347064e-16 
   27       1.291158481548e-10       1.920369717814e-15       2.193765163407e-13       2.903683423832e-17       1.798624490406e-10       1.932025630902e-11       1.116258130329e-15 
   28       1.310802753177e-10       2.186743847749e-15       2.255773155134e-13       3.120967546330e-17       1.679907686439e-10       1.812247664901e-11      -8.564960452416e-16 
   29       1.330813586121e-10       2.477760032193e-15       2.319343156782e-13       3.346090386586e-17       1.572238927565e-10       1.703528829274e-11      -5.340093826600e-15 
   30       1.351185101108e-10       2.794052950292e-15       2.379904648208e-13       3.579059801283e-17       1.474456129201e-10       1.604791447883e-11      -1.099428724486e-14 
