# Matter power spectrum P(k) at redshift z=2
# for k=1.01776e-05 to 10.8586 h/Mpc,
# number of wavenumbers equal to 728
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.017762622183e-05       9.387139428400e+00 
       2.270599619585e-05       2.036226403913e+01 
       3.527608514283e-05       3.115027889272e+01 
       4.791988385778e-05       4.186305354799e+01 
       6.066988421975e-05       5.256406243394e+01 
       7.355935332593e-05       6.330072324982e+01 
       8.662261594150e-05       7.411346057465e+01 
       9.989534883415e-05       8.503939967169e+01 
       1.134148905905e-04       9.611425817303e+01 
       1.272205705424e-04       1.073734776290e+02 
       1.413540604450e-04       1.188530015008e+02 
       1.558597525164e-04       1.305898749845e+02 
       1.707851673344e-04       1.426227501743e+02 
       1.861813948374e-04       1.549923431859e+02 
       2.021035712214e-04       1.677418684961e+02 
       2.186113937793e-04       1.809174661733e+02 
       2.357696745644e-04       1.945686296384e+02 
       2.536489320239e-04       2.087486365589e+02 
       2.723260172576e-04       2.235149828600e+02 
       2.918847680560e-04       2.389298139611e+02 
       3.124166791059e-04       2.550603426660e+02 
       3.340215703985e-04       2.719792380501e+02 
       3.568082276376e-04       2.897649627955e+02 
       3.808949780657e-04       3.085020252558e+02 
       4.064101524856e-04       3.282811082185e+02 
       4.334923695260e-04       3.491990196945e+02 
       4.622905620153e-04       3.713584023767e+02 
       4.929636490547e-04       3.948671296218e+02 
       5.256797433982e-04       4.198373047751e+02 
       5.606147756581e-04       4.463837810490e+02 
       5.979504195942e-04       4.746221343684e+02 
       6.378712222315e-04       5.046660278895e+02 
       6.805608847774e-04       5.366239734661e+02 
       7.261977096468e-04       5.705955336143e+02 
       7.749493255645e-04       6.066671099903e+02 
       8.269669200523e-04       6.449075409623e+02 
       8.823793310846e-04       6.853638249461e+02 
       9.412874532796e-04       7.280573519125e+02 
       1.003759470115e-03       7.729810526526e+02 
       1.069827407121e-03       8.200977718289e+02 
       1.139485399650e-03       8.693401605334e+02 
       1.212689891188e-03       9.206121052931e+02 
       1.289361754710e-03       9.737916176729e+02 
       1.369390105154e-03       1.028729951540e+03 
       1.452637391706e-03       1.085268302001e+03 
       1.538945256643e-03       1.143236130816e+03 
       1.628140633441e-03       1.202453927287e+03 
       1.720041619037e-03       1.262740204653e+03 
       1.814462767214e-03       1.323915670825e+03 
       1.911219581325e-03       1.385806638086e+03 
       2.010132108911e-03       1.448247721806e+03 
       2.111027641521e-03       1.511083686645e+03 
       2.213742593189e-03       1.574170703457e+03 
       2.318123671520e-03       1.637376917148e+03 
       2.424028471503e-03       1.700582523634e+03 
       2.531325620865e-03       1.763679496073e+03 
       2.639894593864e-03       1.826571106366e+03 
       2.749625293107e-03       1.889171238441e+03 
       2.860417480214e-03       1.951403358385e+03 
       2.972180118218e-03       2.013199982585e+03 
       3.084830672812e-03       2.074501976977e+03 
       3.198294406405e-03       2.135257508392e+03 
       3.312503688439e-03       2.195421626654e+03 
       3.427397337294e-03       2.254955279612e+03 
       3.542920003058e-03       2.313824647778e+03 
       3.659021595992e-03       2.372000917438e+03 
       3.775656762429e-03       2.429459475692e+03 
       3.892784407700e-03       2.486178816014e+03 
       4.010367264318e-03       2.542141904520e+03 
       4.128371502794e-03       2.597333401942e+03 
       4.246766381999e-03       2.651741651980e+03 
       4.365523935796e-03       2.705356392580e+03 
       4.484618692657e-03       2.758170522751e+03 
       4.604027425075e-03       2.810177807237e+03 
       4.723728925759e-03       2.861374065186e+03 
       4.843703807817e-03       2.911757011055e+03 
       4.963934326354e-03       2.961324801399e+03 
       5.084404219170e-03       3.010078052030e+03 
       5.205098564436e-03       3.058016329530e+03 
       5.326003653474e-03       3.105141994132e+03 
       5.447106876962e-03       3.151458424250e+03 
       5.568396623055e-03       3.196967358264e+03 
       5.689862186089e-03       3.241673748914e+03 
       5.811493684704e-03       3.285582098419e+03 
       5.933281988318e-03       3.328696421524e+03 
       6.055218651046e-03       3.371021852730e+03 
       6.177295852232e-03       3.412564204829e+03 
       6.299506342883e-03       3.453328276367e+03 
       6.421843397352e-03       3.493320918929e+03 
       6.544300769712e-03       3.532549266842e+03 
       6.666872654316e-03       3.571018202754e+03 
       6.789553650111e-03       3.608734292581e+03 
       6.912338728289e-03       3.645705718988e+03 
       7.035223202952e-03       3.681938066764e+03 
       7.158202704464e-03       3.717433059606e+03 
       7.281273155227e-03       3.752226147535e+03 
       7.404430747627e-03       3.786405177329e+03 
       7.527671923940e-03       3.819757571225e+03 
       7.650993358003e-03       3.852393151487e+03 
       7.774391938469e-03       3.884331028222e+03 
       7.897864753509e-03       3.915583931366e+03 
       8.021409076804e-03       3.946157805902e+03 
       8.145022354722e-03       3.976057667131e+03 
       8.268702194548e-03       4.005293440648e+03 
       8.392446353698e-03       4.033865320903e+03 
       8.516252729795e-03       4.061788993377e+03 
       8.640119351552e-03       4.089063003080e+03 
       8.764044370380e-03       4.115703481496e+03 
       8.888026052660e-03       4.141706763293e+03 
       9.012062772612e-03       4.167091611802e+03 
       9.136153005724e-03       4.191852402930e+03 
       9.260295322681e-03       4.216008630140e+03 
       9.384488383755e-03       4.239562086668e+03 
       9.508730933617e-03       4.262506028050e+03 
       9.633021796538e-03       4.284883294007e+03 
       9.757359871947e-03       4.306660759660e+03 
       9.881744130310e-03       4.327862384367e+03 
       1.000617360931e-02       4.348503283150e+03 
       1.013064741032e-02       4.368569020068e+03 
       1.025516469508e-02       4.388094893863e+03 
       1.037972468271e-02       4.407060176594e+03 
       1.050432664681e-02       4.425481638323e+03 
       1.062896991285e-02       4.443365119388e+03 
       1.075365385574e-02       4.460725533593e+03 
       1.087837789751e-02       4.477550710795e+03 
       1.100314150524e-02       4.493863912739e+03 
       1.112794418904e-02       4.509655421870e+03 
       1.125278550026e-02       4.524950960518e+03 
       1.137766502974e-02       4.539740427446e+03 
       1.150258240626e-02       4.554034799972e+03 
       1.162753729503e-02       4.567845359387e+03 
       1.175252939633e-02       4.581163816505e+03 
       1.187755844422e-02       4.594012837484e+03 
       1.200262420535e-02       4.606386451775e+03 
       1.212772647786e-02       4.618291860120e+03 
       1.225286509034e-02       4.629733219230e+03 
       1.237803990087e-02       4.640725581038e+03 
       1.250325079614e-02       4.651271379743e+03 
       1.262849769063e-02       4.661366546618e+03 
       1.275378052582e-02       4.671025489807e+03 
       1.287909926952e-02       4.680253503504e+03 
       1.300445391520e-02       4.689055789440e+03 
       1.312984448136e-02       4.697431510051e+03 
       1.325527101102e-02       4.705392195793e+03 
       1.338073357118e-02       4.712934447442e+03 
       1.350623225238e-02       4.720071455864e+03 
       1.363176716822e-02       4.726811107452e+03 
       1.375733845503e-02       4.733153166091e+03 
       1.388294627146e-02       4.739100119587e+03 
       1.400859079823e-02       4.744659059394e+03 
       1.413427223778e-02       4.749833464926e+03 
       1.425999081403e-02       4.754637846362e+03 
       1.438574677219e-02       4.759065744065e+03 
       1.451154037852e-02       4.763125394877e+03 
       1.463737192019e-02       4.766826841538e+03 
       1.476324170512e-02       4.770162514001e+03 
       1.488915006186e-02       4.773150453741e+03 
       1.501509733954e-02       4.775789999205e+03 
       1.514108390773e-02       4.778081770018e+03 
       1.526711015644e-02       4.780036622606e+03 
       1.539317649608e-02       4.781658985446e+03 
       1.551928335748e-02       4.782949743588e+03 
       1.564543119185e-02       4.783913728240e+03 
       1.577162047089e-02       4.784560115292e+03 
       1.589785168677e-02       4.784886069969e+03 
       1.602412535228e-02       4.784893076887e+03 
       1.615044200085e-02       4.784596550360e+03 
       1.627680218673e-02       4.783997044099e+03 
       1.640320648507e-02       4.783101250743e+03 
