# Average xi(r), from 10 files.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000   10.6765100000    0.0034813296
          3.000   25.4692080000    0.0184316338
          5.000   32.5605000000    0.0284978313
          7.000   37.6829600000    0.0256857940
          9.000   41.3038359000    0.0565341787
         11.000   43.7800748000    0.0521763599
         13.000   45.2874370000    0.0605781175
         15.000   46.0925550000    0.0928637801
         17.000   46.3335204000    0.1158977858
         19.000   46.1193023000    0.1500510931
         21.000   45.5429961000    0.1961155031
         23.000   44.7989574800    0.2173968864
         25.000   43.6130500000    0.2421060685
         27.000   42.4933006500    0.2826906306
         29.000   41.1091060200    0.2888443801
         31.000   39.7630279200    0.3360641543
         33.000   38.4743264400    0.3908083053
         35.000   37.0677405000    0.4316757625
         37.000   35.6106470400    0.4666224986
         39.000   34.0339872600    0.4979429902
         41.000   32.3024490100    0.4455783368
         43.000   31.0890675100    0.5773171248
         45.000   29.6603370000    0.6318178027
         47.000   28.3378914200    0.6293111918
         49.000   26.9278392600    0.6047634599
         51.000   25.7601375360    0.5986699415
         53.000   24.3297181050    0.7015184036
         55.000   23.1007210500    0.6731885347
         57.000   22.0319595990    0.7566671685
         59.000   20.6132044730    0.7418425603
         61.000   19.5009572640    0.7098544980
         63.000   18.4776874380    0.8233804602
         65.000   17.1345424250    0.9090664361
         67.000   16.0491087120    0.8618876467
         69.000   14.3335189710    0.9284859767
         71.000   13.5674885480    0.9576211408
         73.000   12.4581521870    0.9078391376
         75.000   11.7075150000    0.8628906618
         77.000   10.3585914740    0.8560093957
         79.000    9.2287401998    0.9589772544
