# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000   10.6784894170    0.0038695947
          3.000   25.4748355035    0.0255011472
          5.000   32.5670758808    0.0309003177
          7.000   37.6724507877    0.0261727259
          9.000   41.2978948893    0.0926919968
         11.000   43.7834384264    0.0790684843
         13.000   45.2852512118    0.1025757573
         15.000   46.0679438909    0.0912578062
         17.000   46.2766769664    0.0949619444
         19.000   46.0879651790    0.1450019249
         21.000   45.5071389555    0.2420442540
         23.000   44.8139952465    0.2007461209
         25.000   43.6085590080    0.2635643466
         27.000   42.4853007649    0.2600463327
         29.000   41.0659942519    0.3855046667
         31.000   39.7018108817    0.4312744283
         33.000   38.3986857315    0.4960446432
         35.000   36.8734285461    0.4810768919
         37.000   35.4394429529    0.5949793120
         39.000   33.8819882592    0.6434932852
         41.000   32.1659626253    0.5920208805
         43.000   30.9284850636    0.7722622082
         45.000   29.4836885660    0.6347480751
         47.000   28.1109081653    0.7730368222
         49.000   26.7568186138    0.7645280861
         51.000   25.6697404039    0.9019151487
         53.000   24.1428048729    0.9584879737
         55.000   22.9656954647    1.0610696080
         57.000   21.7725382110    0.9252604960
         59.000   20.2017301869    0.5572766729
         61.000   19.3521397219    0.9317994845
         63.000   18.2234499003    0.8805701704
         65.000   17.0225545039    0.8744140871
         67.000   16.1065600460    1.1219373239
         69.000   14.3689781654    1.2397740992
         71.000   13.4621682427    1.0097033623
         73.000   12.0546112583    0.8564034943
         75.000   11.5052230843    1.0697679200
         77.000   10.1166894139    1.0490478205
         79.000    8.9249307132    0.8272604005
