# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          0.500    6.0383087518    0.0047337207
          1.500   19.6869413830    0.0128282744
          2.500   24.2328060554    0.0150348948
          3.500   28.0847672843    0.0401649890
          4.500   31.4515206249    0.0390511381
          5.500   34.3201980766    0.0489044278
          6.500   36.7991297273    0.0296308787
          7.500   38.9280989239    0.0247400093
          8.500   40.6969505839    0.0841295334
          9.500   42.1387247323    0.1006819927
         10.500   43.3978012554    0.0784755873
         11.500   44.3386566039    0.0804026443
         12.500   45.0626012906    0.0826893897
         13.500   45.6436366331    0.1001521708
         14.500   46.0584794163    0.0901543020
         15.500   46.1908986245    0.1263204146
         16.500   46.3666308016    0.0962632723
         17.500   46.2718024879    0.0883737594
         18.500   46.2000183464    0.1923093624
         19.500   46.0704066337    0.1698362101
         20.500   45.7649911388    0.2582867432
         21.500   45.2945379038    0.2069679828
         22.500   44.9270196080    0.2329514933
         23.500   44.7801266956    0.1186523927
         24.500   43.9030442690    0.3050474411
