# Average xi(r), from 10 files.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    3.8333780000    0.0007057522
          3.000    8.6170158000    0.0033551270
          5.000   11.8461400000    0.0058932956
          7.000   14.1338148000    0.0094444604
          9.000   15.7409649000    0.0167743091
         11.000   16.8270586000    0.0184583701
         13.000   17.5065748000    0.0260965381
         15.000   17.8663320000    0.0336198689
         17.000   17.9890044100    0.0452111615
         19.000   17.9315450700    0.0555735891
         21.000   17.7249277800    0.0688844898
         23.000   17.4112150500    0.0795838638
         25.000   16.9957000000    0.0882427861
         27.000   16.5279098700    0.1028682260
         29.000   16.0193427700    0.1166184928
         31.000   15.5127022500    0.1350566767
         33.000   14.9812314300    0.1486618006
         35.000   14.4402142500    0.1662468598
         37.000   13.8915784050    0.1704606572
         39.000   13.3054326990    0.1811770940
         41.000   12.7077195390    0.1867217925
         43.000   12.1469907080    0.2061782056
         45.000   11.5931067750    0.2252640401
         47.000   11.0693917780    0.2227182818
         49.000   10.5383419470    0.2257773936
         51.000   10.0321350300    0.2319501345
         53.000    9.4953862960    0.2469125446
         55.000    9.0089249250    0.2516600650
         57.000    8.5615178760    0.2560708465
         59.000    8.0418166430    0.2674177561
         61.000    7.6229633930    0.2833256490
         63.000    7.1547138810    0.3084275370
         65.000    6.7056665000    0.3377429891
         67.000    6.2492401470    0.3207162237
         69.000    5.7912180309    0.3298106021
         71.000    5.3530071499    0.3397380829
         73.000    4.9654241789    0.3304171284
         75.000    4.5376340625    0.3394537374
         77.000    4.1536819016    0.3402800407
         79.000    3.7897143167    0.3578061782
