# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    3.8336911375    0.0006646230
          3.000    8.6169885277    0.0047598877
          5.000   11.8467901014    0.0091371480
          7.000   14.1325719417    0.0154720007
          9.000   15.7358165385    0.0236342795
         11.000   16.8245947784    0.0289133615
         13.000   17.5011441299    0.0322124149
         15.000   17.8523429549    0.0296906755
         17.000   17.9656170902    0.0396820073
         19.000   17.9099105666    0.0371944191
         21.000   17.7093883318    0.0548588881
         23.000   17.4050798526    0.0625137045
         25.000   16.9889013618    0.0784966381
         27.000   16.5249945450    0.1038615788
         29.000   16.0013074393    0.1520727594
         31.000   15.4865966439    0.1728744086
         33.000   14.9452521254    0.1835565599
         35.000   14.3828447352    0.1975483246
         37.000   13.8340006222    0.2310288525
         39.000   13.2502924762    0.2460617438
         41.000   12.6589941684    0.2395447303
         43.000   12.0832994855    0.2443796925
         45.000   11.5168854304    0.2418632884
         47.000   10.9875038633    0.2591406126
         49.000   10.4668479892    0.2822545639
         51.000    9.9530225314    0.2988438820
         53.000    9.4044925433    0.3042827877
         55.000    8.9146117320    0.2861841048
         57.000    8.4296368883    0.2169605437
         59.000    7.9400912066    0.2787665265
         61.000    7.5316840512    0.3010385082
         63.000    7.0594643150    0.3512096154
         65.000    6.6297330802    0.3690625392
         67.000    6.1982261639    0.3630138804
         69.000    5.7583144697    0.3703183171
         71.000    5.2952830292    0.3817268585
         73.000    4.8809730573    0.3446523606
         75.000    4.4230652743    0.4014196725
         77.000    4.0554609378    0.4042500753
         79.000    3.7243788078    0.3784009366
