# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          0.500    3.1988165031    0.0003163399
          1.500    5.7448380177    0.0017426930
          2.500    7.9443885606    0.0034517554
          3.500    9.7571656642    0.0054626604
          4.500   11.3044451157    0.0083242717
          5.500   12.6202887877    0.0119498296
          6.500   13.7314960121    0.0167083268
          7.500   14.6719449535    0.0143556586
          8.500   15.4568737754    0.0196974758
          9.500   16.1080928061    0.0236099865
         10.500   16.6370366707    0.0204865031
         11.500   17.0640598780    0.0241588365
         12.500   17.3944220705    0.0227033447
         13.500   17.6452552530    0.0336608819
         14.500   17.8158874533    0.0286530862
         15.500   17.9111385643    0.0270720071
         16.500   17.9708334586    0.0336053205
         17.500   17.9774956818    0.0358727609
         18.500   17.9497565984    0.0447012248
         19.500   17.8798147146    0.0358365407
         20.500   17.7803520123    0.0568987209
         21.500   17.6416890941    0.0668905652
         22.500   17.4812708815    0.0623695767
         23.500   17.3089165641    0.0805559951
         24.500   17.0925602003    0.0775297715
