# Average xi(r), from 10 files.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    3.4106360000    0.0032955900
          3.000    6.7558428000    0.0046433676
          5.000    9.2720550000    0.0074235360
          7.000   11.1123670000    0.0118487026
          9.000   12.4253352000    0.0141822794
         11.000   13.3345872000    0.0190443887
         13.000   13.9301680700    0.0234153280
         15.000   14.2605630000    0.0304906485
         17.000   14.4030519500    0.0400298158
         19.000   14.3941602200    0.0500282321
         21.000   14.2623633600    0.0607137652
         23.000   14.0327724200    0.0680930289
         25.000   13.7289187500    0.0742658297
         27.000   13.3788267000    0.0875605977
         29.000   12.9974195200    0.0959715570
         31.000   12.6059751600    0.1048392385
         33.000   12.1850714700    0.1126812308
         35.000   11.7612556250    0.1241930805
         37.000   11.3112885740    0.1331906185
         39.000   10.8554135040    0.1350075456
         41.000   10.3863022450    0.1439042854
         43.000    9.9482893380    0.1505322631
         45.000    9.4994633250    0.1598129073
         47.000    9.0788773410    0.1623398211
         49.000    8.6670145520    0.1661231552
         51.000    8.2259069940    0.1680133874
         53.000    7.7784075180    0.1738826254
         55.000    7.3697712000    0.1841691173
         57.000    6.9887224620    0.2003827085
         59.000    6.6104538100    0.2166453260
         61.000    6.2532000360    0.2418282453
         63.000    5.8687936020    0.2544861254
         65.000    5.4991079000    0.2643761814
         67.000    5.1647201920    0.2651198343
         69.000    4.8031624638    0.2498289618
         71.000    4.4497169132    0.2541512520
         73.000    4.1276829971    0.2588716912
         75.000    3.7868748750    0.2696475494
         77.000    3.4723081778    0.2761484852
         79.000    3.1637357757    0.2828864302
