# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=1.00.
#      r[Mpc/h]             Avg      Err on Avg
          0.500    2.8993306374    0.0028039651
          1.500    5.0441447567    0.0074390251
          2.500    6.2519912097    0.0058886236
          3.500    7.6225054456    0.0064773221
          4.500    8.8363055290    0.0063757039
          5.500    9.8830754506    0.0071195674
          6.500   10.7785288097    0.0077362587
          7.500   11.5380025390    0.0078872953
          8.500   12.1835158143    0.0106148885
          9.500   12.7187330356    0.0115328295
         10.500   13.1641011261    0.0138426509
         11.500   13.5306798268    0.0183171014
         12.500   13.8230315045    0.0187829711
         13.500   14.0440158592    0.0167357587
         14.500   14.2057418705    0.0186958428
         15.500   14.3150848469    0.0211668621
         16.500   14.3812348606    0.0225292713
         17.500   14.4150175748    0.0327108098
         18.500   14.4114934480    0.0408675140
         19.500   14.3800724556    0.0457685353
         20.500   14.3122930936    0.0616015001
         21.500   14.2185217616    0.0717975948
         22.500   14.1051192859    0.0795483717
         23.500   13.9720419385    0.0836443000
         24.500   13.8164504313    0.0934048194
