# Average xi(r), from 10 files.
# Robust average using sqrt{1+x^2} and MAD.
# Using z=2.00.
#      r[Mpc/h]             Avg      Err on Avg
          1.000    1.1327225339    0.0004594761
          3.000    3.0871490599    0.0012468379
          5.000    4.4241202218    0.0021755089
          7.000    5.3701795151    0.0037058193
          9.000    6.0314594132    0.0038216291
         11.000    6.4836333612    0.0073734609
         13.000    6.7649012576    0.0089897744
         15.000    6.9154975072    0.0101687828
         17.000    6.9669744542    0.0124428681
         19.000    6.9506674349    0.0178284506
         21.000    6.8754064842    0.0216533911
         23.000    6.7575718923    0.0329356127
         25.000    6.6023328348    0.0394465408
         27.000    6.4198207550    0.0475289426
         29.000    6.2265742040    0.0624960444
         31.000    6.0227632088    0.0701814404
         33.000    5.8094103757    0.0748941530
         35.000    5.5939656170    0.0769270205
         37.000    5.3820556989    0.0777750354
         39.000    5.1565097134    0.0832609441
         41.000    4.9323463819    0.0819364542
         43.000    4.7072095326    0.0863340796
         45.000    4.4957531052    0.0930482428
         47.000    4.2922305222    0.1035471088
         49.000    4.0828249749    0.1053485153
         51.000    3.8714835244    0.1126002547
         53.000    3.6640266161    0.1206185106
         55.000    3.4730298651    0.1044041361
         57.000    3.2873620116    0.0851821490
         59.000    3.1048106168    0.0959129887
         61.000    2.9262119611    0.1095537044
         63.000    2.7385542011    0.1281576774
         65.000    2.5766130308    0.1438969782
         67.000    2.4079302440    0.1434227970
         69.000    2.2376506410    0.1274338585
         71.000    2.0715724828    0.1377623627
         73.000    1.9049811593    0.1375900979
         75.000    1.7568828761    0.1539960685
         77.000    1.6264199319    0.1547530133
         79.000    1.4932855743    0.1432724189
