# Halofit, tahahashi 
#  k, P(k)
1.027950000000000043e-05 3.177080000000000126e+01
1.034699999999999936e-05 3.197209999999999752e+01
1.041499999999999939e-05 3.217479999999999052e+01
1.048340000000000029e-05 3.237870000000000203e+01
1.055230000000000060e-05 3.258400000000000318e+01
1.062160000000000008e-05 3.279050000000000153e+01
1.069140000000000067e-05 3.299839999999999662e+01
1.076170000000000066e-05 3.320779999999999887e+01
1.083239999999999983e-05 3.341830000000000211e+01
1.090349999999999988e-05 3.362989999999999924e+01
1.097519999999999954e-05 3.384329999999999927e+01
1.104730000000000009e-05 3.405780000000000740e+01
1.111979999999999982e-05 3.427349999999999852e+01
1.119289999999999917e-05 3.449090000000000344e+01
1.126639999999999940e-05 3.470940000000000225e+01
1.134049999999999925e-05 3.492969999999999686e+01
1.141499999999999998e-05 3.515109999999999957e+01
1.149000000000000010e-05 3.537400000000000233e+01
1.156549999999999964e-05 3.559819999999999851e+01
1.164140000000000004e-05 3.582359999999999900e+01
1.171790000000000007e-05 3.605080000000000240e+01
1.179489999999999951e-05 3.627940000000000964e+01
1.187240000000000003e-05 3.650939999999999941e+01
1.195039999999999997e-05 3.674080000000000013e+01
1.202889999999999930e-05 3.697370000000000090e+01
1.210789999999999973e-05 3.720799999999999841e+01
1.218749999999999978e-05 3.744400000000000261e+01
1.226759999999999923e-05 3.768149999999999977e+01
1.234819999999999978e-05 3.792029999999999035e+01
1.242929999999999973e-05 3.816069999999999851e+01
1.251099999999999931e-05 3.840269999999999584e+01
1.259319999999999998e-05 3.864609999999999701e+01
1.267590000000000005e-05 3.889099999999999824e+01
1.275919999999999974e-05 3.913759999999999906e+01
1.284300000000000053e-05 3.938559999999999661e+01
1.292739999999999925e-05 3.963539999999999708e+01
1.301230000000000076e-05 3.988649999999999807e+01
1.309780000000000019e-05 4.013940000000000197e+01
1.318380000000000073e-05 4.039370000000000260e+01
1.327049999999999941e-05 4.064999999999999858e+01
1.335769999999999918e-05 4.090780000000000172e+01
1.344540000000000005e-05 4.116689999999999827e+01
1.353380000000000076e-05 4.142810000000000770e+01
1.362269999999999918e-05 4.169069999999999254e+01
1.371220000000000061e-05 4.195490000000000208e+01
1.380229999999999997e-05 4.222090000000000032e+01
1.389290000000000043e-05 4.248839999999999861e+01
1.398420000000000072e-05 4.275780000000000314e+01
1.407610000000000064e-05 4.302890000000000015e+01
1.416860000000000017e-05 4.330170000000000385e+01
1.426169999999999933e-05 4.357630000000000337e+01
1.435539999999999981e-05 4.385249999999999915e+01
1.444969999999999991e-05 4.413049999999999784e+01
1.454459999999999962e-05 4.441009999999999991e+01
1.464019999999999918e-05 4.469180000000000064e+01
1.473629999999999984e-05 4.497480000000000189e+01
1.483320000000000055e-05 4.526019999999999754e+01
1.493060000000000067e-05 4.554690000000000083e+01
1.502870000000000063e-05 4.583570000000000277e+01
1.512750000000000043e-05 4.612650000000000006e+01
1.522679999999999963e-05 4.641859999999999786e+01
