# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
1.017799999999999979e-05 6.311197698147430479e+00 6.579729544805448249e+00 6.993016840052554528e+00 7.418891565611754224e+00 7.709801066157941918e+00
1.049699999999999962e-05 6.502183213766185688e+00 6.778841203138621374e+00 7.204635139907133556e+00 7.643397419927477898e+00 7.943110241747613820e+00
1.082599999999999935e-05 6.698952517870560008e+00 6.983982741345608147e+00 7.422662069662671058e+00 7.874702189705127253e+00 8.183484931803093332e+00
1.116599999999999948e-05 6.901626106053997844e+00 7.195279781923777485e+00 7.647231142442104890e+00 8.112947519016827869e+00 8.431072334542419000e+00
1.151599999999999952e-05 7.110444969503405765e+00 7.412983569867871658e+00 7.878609384491306322e+00 8.358416696006827351e+00 8.686166846401665254e+00
1.187699999999999996e-05 7.325529603812225510e+00 7.637219727675262249e+00 8.116930308933214988e+00 8.611251364747246839e+00 8.948915665598867974e+00
1.224999999999999960e-05 7.547121000167366311e+00 7.868239500340693304e+00 8.362460942013701271e+00 8.871734813382335716e+00 9.219613188570104256e+00
1.263399999999999965e-05 7.775460149755722306e+00 8.106294132858900880e+00 8.615468309978638217e+00 9.140150330056336259e+00 9.498553811751451192e+00
1.303099999999999941e-05 8.010667548170747665e+00 8.351509247727264551e+00 8.876085925950967237e+00 9.416639558841376711e+00 9.785884733360941112e+00
1.343899999999999957e-05 8.253104682192791586e+00 8.604261712437892839e+00 9.144714329299493016e+00 9.701627431953831149e+00 1.008204754805269054e+01
1.386099999999999993e-05 8.502771551821853180e+00 8.864551526990787522e+00 9.421353520024217332e+00 9.995113949393692465e+00 1.038704225582669949e+01
1.429600000000000001e-05 8.760029643838290525e+00 9.132755558878059787e+00 9.706404037493950199e+00 1.029752404337733118e+01 1.070131045133707914e+01
1.474399999999999978e-05 9.024999453835546248e+00 9.408999430597079439e+00 9.999999394831627697e+00 1.060899935797687199e+01 1.102499933280187250e+01
1.520700000000000026e-05 9.298042468593973098e+00 9.693660009639964770e+00 1.030254013140606517e+01 1.092996482540869074e+01 1.135855049487518365e+01
1.568400000000000095e-05 9.579399679300466985e+00 9.986988541001451836e+00 1.061429327346312235e+01 1.126070373381702616e+01 1.170225833399309323e+01
1.617599999999999895e-05 9.869191581548488301e+00 1.028911064717891932e+01 1.093539233412574774e+01 1.160135772727401005e+01 1.205627004837363891e+01
1.668299999999999934e-05 1.016777966211838091e+01 1.060040319566446954e+01 1.126623785276275136e+01 1.195235173799600048e+01 1.242102723267093367e+01
1.720600000000000094e-05 1.047540491219705139e+01 1.092111743145286162e+01 1.160709685562000004e+01 1.231396905412726106e+01 1.279682428332105282e+01
1.774599999999999916e-05 1.079230832297139386e+01 1.125150459953881743e+01 1.195823636894336772e+01 1.268649296381202340e+01 1.318395559676006812e+01
1.830300000000000077e-05 1.111885138122176109e+01 1.159194156741446413e+01 1.232005693210167330e+01 1.307034839926666514e+01 1.358286276764209255e+01
1.887699999999999900e-05 1.145527507813505963e+01 1.194267958007454133e+01 1.269282557134078182e+01 1.346581864863543565e+01 1.399384019240321386e+01
1.946899999999999944e-05 1.180182040489817830e+01 1.230396988251379042e+01 1.307680931290656723e+01 1.387318700006257899e+01 1.441718226747949139e+01
2.008000000000000087e-05 1.215921033507182614e+01 1.267656620971643378e+01 1.347280923553664778e+01 1.429330331798083442e+01 1.485377218217915818e+01
2.070999999999999992e-05 1.252672189509530298e+01 1.305971482669825257e+01 1.388002426049341054e+01 1.472531773795745735e+01 1.530272674719398829e+01
2.135899999999999997e-05 1.290628301446381165e+01 1.345542569341717787e+01 1.430059059774383634e+01 1.517149656514643397e+01 1.576640113401258070e+01
2.202899999999999864e-05 1.329668873724284950e+01 1.386244258489949743e+01 1.473317311605856261e+01 1.563042335882652623e+01 1.624332336045456415e+01
2.271999999999999931e-05 1.369793906343242007e+01 1.428076550114522192e+01 1.517777181543758402e+01 1.610209811899773058e+01 1.673349342651993155e+01
2.343300000000000079e-05 1.411244390490151979e+01 1.471290689210176161e+01 1.563705695833963460e+01 1.658935372710251954e+01 1.723985529656944493e+01
2.416799999999999968e-05 1.454020326165015931e+01 1.515886675776912362e+01 1.611102854476471791e+01 1.709219018314088956e+01 1.776240897060310431e+01
2.492600000000000157e-05 1.498001217774382710e+01 1.561738887317359215e+01 1.659835144348346248e+01 1.760919104639160437e+01 1.829968246644051888e+01
2.570799999999999849e-05 1.543307560911703114e+01 1.608972946328888298e+01 1.710036078572524332e+01 1.814177275757590735e+01 1.885314776626208300e+01
2.651499999999999940e-05 1.589939355576976965e+01 1.657588852811498725e+01 1.761705657149004978e+01 1.868993531669379138e+01 1.942280487006777889e+01
2.734599999999999873e-05 1.638137592957104971e+01 1.707837851759933656e+01 1.815110906323662121e+01 1.925651160518773253e+01 2.001159774221837750e+01
2.820399999999999966e-05 1.687661281865186780e+01 1.759468698179450996e+01 1.869984799850622537e+01 1.983866874161525473e+01 2.061658241835311856e+01
2.908899999999999881e-05 1.738751413488122921e+01 1.812732637064792129e+01 1.926594363975759094e+01 2.043923960741883050e+01 2.124070286283274811e+01
3.000099999999999956e-05 1.791287492232462597e+01 1.867504045918585831e+01 1.984806085576135359e+01 2.105680776187721648e+01 2.188248709347689314e+01
3.094299999999999834e-05 1.845510509285106693e+01 1.924034169735575261e+01 2.044886990897624912e+01 2.169420608643289938e+01 2.254487907464631746e+01
3.191299999999999752e-05 1.901299969052604411e+01 1.982197386018388485e+01 2.106703566817290607e+01 2.235001814036463585e+01 2.322640682416063385e+01
3.291399999999999692e-05 1.958896862721857701e+01 2.042244939761768308e+01 2.170522839581006025e+01 2.302707680511489130e+01 2.393001430638059190e+01
3.394699999999999871e-05 2.018060199105964969e+01 2.103925585970972634e+01 2.236077782942897940e+01 2.372254919924120031e+01 2.465275755694544557e+01
3.501200000000000292e-05 2.079151464985277897e+01 2.167616192138114428e+01 2.303768936271776013e+01 2.444068464490727166e+01 2.539905252239632816e+01
3.610999999999999816e-05 2.142050164766345333e+01 2.233191135765822111e+01 2.373462786444703454e+01 2.518006670139186198e+01 2.616742722055286308e+01
3.724300000000000239e-05 2.206876794042617007e+01 2.300776039351466906e+01 2.445292846584617763e+01 2.594211180941620754e+01 2.695935363359541270e+01
3.841100000000000205e-05 2.273631352814094697e+01 2.370370902895049525e+01 2.519259116691517519e+01 2.672681996898031187e+01 2.777483176152398059e+01
3.961600000000000153e-05 2.342434336674227424e+01 2.442101348893940127e+01 2.595495109888340934e+01 2.753560762080541124e+01 2.861533358651896108e+01
4.085900000000000301e-05 2.413285745623015899e+01 2.515967377348139422e+01 2.674000826175086942e+01 2.836847476489150210e+01 2.948085910858033287e+01
4.213999999999999972e-05 2.486306075253910208e+01 2.592094610755018991e+01 2.754909778674693044e+01 2.922683784195981360e+01 3.037288030988849030e+01
4.346199999999999825e-05 2.561495325566911063e+01 2.670483049114577412e+01 2.838221967387158884e+01 3.011069685201036350e+01 3.129139719044341916e+01
4.482600000000000077e-05 2.638973992155466064e+01 2.751258314924185910e+01 2.924070905435419476e+01 3.102146823576436319e+01 3.223788173242549959e+01
