# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
    2       7.020813800599e-03       2.959028460119e-03       1.327075271057e-03      -2.753097400259e-09      -1.815658959966e-09      -1.128743526516e-09       6.345024664690e-03       2.681632868924e-03      -2.996761314201e-09      -1.926566328119e-09      -1.259624130903e-09       5.760099815618e-03      -3.268895229990e-09      -2.064127924500e-09      -1.386150842884e-09       4.530337396401e-05      -1.986051453253e-06      -5.672666242734e-07       3.621728193511e-05      -1.744097848541e-06       2.949783247461e-05 
    3       1.403678738039e-02       5.950924710537e-03       2.730312346765e-03      -8.693745380806e-10      -4.965399454264e-10      -6.103610392912e-11       1.270484834232e-02       5.407417256672e-03      -7.245970300758e-10      -4.656435865678e-10      -1.035179065135e-10       1.154804061807e-02      -8.328687391102e-10      -4.661826228311e-10      -2.174888783838e-10       9.077922813870e-05      -3.840304091261e-06      -1.055843451054e-06       7.255949938582e-05      -3.388846881691e-06       5.908878127784e-05 
    4       2.314329905267e-02       9.764735580038e-03       4.506868235563e-03      -2.879765564714e-10      -2.645189637669e-10      -7.384834313124e-11       2.099530884267e-02       8.910818501436e-03      -2.036005180101e-10      -4.716398361184e-11      -1.107845275525e-10       1.912130601143e-02      -2.095224231404e-10       4.591885671313e-11      -1.236228815140e-10       1.516185206471e-04      -6.158153326811e-06      -1.623840654765e-06       1.211657016240e-04      -5.463572801015e-06       9.865615441646e-05 
    5       3.404099942368e-02       1.415992436377e-02       6.481733998234e-03      -1.120007795706e-11       1.483533799110e-10       6.546351902004e-10       3.096584241568e-02       1.299033739333e-02       5.111416380709e-10       3.074257807894e-10       4.014632489133e-10       2.826999743604e-02       3.454024939581e-10       3.625894658880e-10       9.036765502176e-11       2.279371954885e-04      -8.853214691829e-06      -2.233074568546e-06       1.821226986953e-04      -7.900134117859e-06       1.482663416361e-04 
    6       4.642081763608e-02       1.888561709977e-02       8.469202670966e-03      -1.187600316452e-10       2.957245559520e-11       5.668924952528e-11       4.234629097690e-02       1.742600845875e-02       1.819710206858e-10       4.700204149406e-10       4.155535594735e-11       3.875890936449e-02       1.909798780993e-10       5.177157031222e-10       5.492974919332e-11       3.198463919862e-04      -1.184196531087e-05      -2.851526828167e-06       2.555150104088e-04      -1.063146378357e-05       2.079849652980e-04 
    7       6.002055252717e-02       2.373094562015e-02       1.031515553593e-02       8.823751587867e-10       3.954452152558e-10       3.562233767131e-10       5.489481325738e-02       2.202181517184e-02       1.258886310072e-09       4.457517565880e-10      -3.444768355759e-10       5.036768340396e-02       4.430983422115e-10       3.108505121517e-10      -7.982053990177e-10       4.274485664521e-04      -1.504588684114e-05      -3.453420911589e-06       3.414222370783e-04      -1.359307438095e-05       2.778747396850e-04 
    8       7.465740349508e-02       2.855596384869e-02       1.192453382778e-02      -3.603273144753e-10       1.330545841426e-09       3.255632169559e-10       6.842931986102e-02       2.663486102026e-02       3.107704327659e-10       1.384877121911e-09       1.563984625398e-10       6.291980938868e-02       1.671663093650e-10       8.019903706176e-10       3.748089476341e-11       5.508328990524e-04      -1.839301677177e-05      -4.019141726829e-06       4.399156799277e-04      -1.672486051695e-05       3.579929632573e-04 
    9       9.023374910120e-02       3.329997695130e-02       1.327093341416e-02       2.261585592022e-09      -1.708922900777e-10      -2.320623480696e-09       8.283876516405e-02       3.118763750004e-02       1.293359814500e-09      -9.492232513648e-11      -2.276409772371e-09       7.629665374153e-02      -5.792815537364e-10      -2.902896728352e-10      -1.739473052859e-09       6.900749631666e-04      -2.181858729494e-05      -4.534429848014e-06       5.510575484529e-04      -1.997107461530e-05       4.483910954944e-04 
   10       1.067208654091e-01       3.797028240354e-02       1.439002024797e-02      -2.766696381211e-10       1.918331432854e-09      -8.705522244632e-10       9.807612004522e-02       3.566426301696e-02       8.562167297247e-10       5.113343789976e-10      -1.074860887165e-09       9.043667430125e-02       1.490798854257e-10      -9.049663062849e-10      -1.055384412993e-09       8.452319891238e-04      -2.526487755644e-05      -4.989773035546e-06       6.748986972282e-04      -2.328143941580e-05       5.491124257021e-04 
   11       1.241293001622e-01       4.261808004569e-02       1.536160136989e-02       1.548178717785e-09      -1.892981276242e-10       6.460611855017e-10       1.141385295782e-01       4.009482984872e-02      -1.162140148623e-09       1.403343975927e-10       1.459809014523e-09       1.053230754305e-01      -2.809346923968e-09      -1.001315129006e-10       2.305126378907e-09       1.016346218995e-03      -2.868216812998e-05      -5.379611288186e-06       8.114784396932e-04      -2.661062076524e-05       6.601929154366e-04 
   12       1.424749070248e-01       4.730904507751e-02       1.628608192548e-02       9.928112604983e-10      -3.193117165497e-09       1.853521155510e-10       1.310413343502e-01       4.453332061144e-02       1.475793742575e-09      -3.796748095352e-09       4.576489391969e-10       1.209646442219e-01      -6.406485798566e-10      -3.446543492105e-09       9.795853708989e-10       1.203438148904e-03      -3.202636934087e-05      -5.701535203949e-06       9.608237176245e-04      -2.991840871322e-05       7.816589273026e-04 
   13       1.617475749864e-01       5.209472359184e-02       1.726018084457e-02      -2.898241603147e-09       2.201367949212e-09       1.754173308070e-09       1.487917899342e-01       4.903411783342e-02      -4.082733604861e-09       9.279743059781e-10       1.228239039715e-09       1.373744382979e-01      -2.518972012029e-09      -2.466424930106e-10       6.600822413218e-10       1.406513847040e-03      -3.526195175071e-05      -5.955606608032e-06       1.122947974052e-03      -3.316997968955e-05       9.135284665739e-04 
   14       1.818873331912e-01       5.698895701977e-02       1.835528708795e-02       6.408368557173e-10       1.175429464075e-09       7.308700138549e-10       1.673666735734e-01       5.363085943691e-02      -7.216074891715e-10       2.183813105419e-09       5.600793025298e-10       1.545499876321e-01      -3.201620727871e-09       3.468706218802e-09       4.843815556159e-10       1.625555486920e-03      -3.835675406893e-05      -6.144001265248e-06       1.297853177283e-03      -3.633415738685e-05       1.055809924227e-03 
