# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
    2       7.020829464049e-03       2.959045884063e-03       1.327092456398e-03      -1.904601525133e-09      -3.100873846597e-09      -2.587377879382e-09       6.345038654301e-03       2.681648644391e-03      -3.004368395326e-09      -1.608234105763e-09      -2.265128319171e-09       5.760113102980e-03      -2.561577712027e-09      -2.047834870022e-09      -4.483687494618e-10       4.530365378372e-05      -1.986116997662e-06      -5.672751869003e-07       3.621730668320e-05      -1.744125600611e-06       2.949784191985e-05 
    3       1.403681349898e-02       5.950954812475e-03       2.730343516027e-03       8.639227517193e-10      -4.807465408844e-11       1.972823902321e-09       1.270487293503e-02       5.407445256591e-03      -1.106533453310e-09      -2.238888902560e-09       2.635346268258e-09       1.154806312403e-02       1.120132383795e-10      -3.276556772329e-09       3.429810596908e-09       9.078010197896e-05      -3.840074531058e-06      -1.055800687618e-06       7.255987345643e-05      -3.388675510412e-06       5.908950454849e-05 
    4       2.314333118705e-02       9.764775845856e-03       4.506910728977e-03       3.712486941943e-09      -3.097574905938e-09      -3.832540086234e-09       2.099533890438e-02       8.910856618509e-03       2.018072132194e-10       2.535896041555e-09      -9.775305540497e-10       1.912133688756e-02       2.450128804301e-09       9.546657841248e-10       5.012719179064e-09       1.516194143701e-04      -6.158460959000e-06      -1.623835743524e-06       1.211657481738e-04      -5.463580958904e-06       9.865619913659e-05 
    5       3.404103140043e-02       1.415996919051e-02       6.481784964232e-03       8.132584693271e-09       3.523922956761e-09       9.678376125103e-09       3.096587533818e-02       1.299038093138e-02       2.196929164555e-09      -2.392356218553e-09       7.352904508717e-09       2.827002891304e-02       4.212466152777e-09      -2.767663642969e-09       6.758020781966e-09       2.279394746168e-04      -8.852448390225e-06      -2.233011145543e-06       1.821237302536e-04      -7.899850886227e-06       1.482681249366e-04 
    6       4.642084084603e-02       1.888566061405e-02       8.469256387763e-03       1.091988018421e-08       2.137078004799e-09       8.143543890317e-11       4.234631483431e-02       1.742605248086e-02       9.974159001338e-10       1.138345419463e-08       7.322992600868e-09       3.875893917917e-02       5.400324397087e-09       4.520305204558e-09       1.527486361256e-08       3.198481720586e-04      -1.184287235835e-05      -2.851444229313e-06       2.555149806387e-04      -1.063120528656e-05       2.079851447040e-04 
    7       6.002056203526e-02       2.373098221394e-02       1.031520751526e-02       1.929269763650e-08       1.794435679551e-08       4.418162479594e-09       5.489482889778e-02       2.202185323908e-02       3.318228444609e-09       2.144417643564e-09      -4.500269282150e-09       5.036770119639e-02       3.660741160914e-09       3.496526791678e-09      -5.061193430843e-09       4.274529875598e-04      -1.504403992084e-05      -3.453365636833e-06       3.414244121384e-04      -1.359293716338e-05       2.778779097193e-04 
    8       7.465739219940e-02       2.855598895422e-02       1.192458182211e-02       1.784357780757e-08       3.117779893223e-08      -5.917468604538e-09       6.842931332921e-02       2.663489020911e-02      -3.740014937914e-09       3.003473569846e-08       6.110286154071e-09       6.291981425659e-02       4.420245205605e-09       7.569557175801e-09       8.696781599276e-09       5.508358254710e-04      -1.839500451395e-05      -4.018931756979e-06       4.399153397628e-04      -1.672381670965e-05       3.579936021472e-04 
    9       9.023371612843e-02       3.329998869400e-02       1.327097303927e-02       7.087315100806e-09       2.177725350106e-08      -1.786667855281e-08       8.283874175973e-02       3.118765374000e-02      -1.782863338279e-08      -9.514656473304e-09      -2.406903082039e-08       7.629663823339e-02      -1.406122049551e-08      -1.647454026579e-09      -1.227310280145e-08       6.900822352570e-04      -2.181511216279e-05      -4.534360258713e-06       5.510614798571e-04      -1.997158691524e-05       4.483956421457e-04 
   10       1.067208038962e-01       3.797027736790e-02       1.439005321930e-02      -5.546030117244e-08      -1.848830643787e-08      -1.519859991237e-08       9.807607023110e-02       3.566426400145e-02      -6.129504431907e-08      -2.817985410128e-08       4.641709107048e-09       9.043663953095e-02      -2.692117146308e-08      -5.100898946893e-08      -2.744230159657e-09       8.452363918611e-04      -2.526817754089e-05      -4.989466463604e-06       6.748977909712e-04      -2.327892930339e-05       5.491142999656e-04 
   11       1.241292183752e-01       4.261805952977e-02       1.536162310972e-02      -6.341658678208e-09      -6.042451152020e-09       1.434457432543e-09       1.141384549296e-01       4.009481758831e-02      -3.026063711487e-08      -4.429143866141e-08       1.227382979610e-09       1.053230140612e-01      -1.427192198797e-08      -1.608182163388e-08       2.303738524338e-08       1.016356893390e-03      -2.867708794285e-05      -5.379445459536e-06       8.114845537253e-04      -2.661226528546e-05       6.601982438539e-04 
   12       1.424747889765e-01       4.730900804816e-02       1.628609835253e-02       3.869726583809e-08       3.971352923777e-08       9.310539385605e-09       1.310412357959e-01       4.453328701102e-02       4.298024709872e-08       1.489909094591e-08       2.896332826537e-08       1.209645636952e-01       7.960604688942e-08       4.477980762465e-09       3.843452939006e-09       1.203444612789e-03      -3.203028969707e-05      -5.701170645852e-06       9.608225331935e-04      -2.991405903952e-05       7.816634671910e-04 
   13       1.617474381627e-01       5.209466756090e-02       1.726018571098e-02       6.100937557845e-09       7.517605436524e-09      -1.826546970152e-08       1.487916617106e-01       4.903407693466e-02       5.216667746604e-09      -1.554183338860e-08      -1.042290951399e-08       1.373743271863e-01       3.339865446822e-08       3.817392047484e-08       1.032882189184e-08       1.406528054382e-03      -3.525643915546e-05      -5.955417366840e-06       1.122955628192e-03      -3.317261311995e-05       9.135333080886e-04 
   14       1.818871644669e-01       5.698888812239e-02       1.835528366526e-02      -2.017150818867e-08       1.873683803050e-08       3.878594534199e-09       1.673665229220e-01       5.363079181972e-02      -2.466343377499e-08      -3.515579823721e-08       6.470470466786e-09       1.545498587876e-01      -9.170536846064e-09      -2.073493569086e-08      -3.421658138910e-08       1.625564874490e-03      -3.835948221805e-05      -6.143190294770e-06       1.297853668858e-03      -3.632850031618e-05       1.055818958975e-03 
   15       2.027708675876e-01       6.195209083873e-02       1.960067483564e-02      -4.804198467766e-08      -1.976791852786e-08      -1.007702128425e-08       1.866963654897e-01       5.832005651131e-02      -1.259738275698e-08      -2.345368590913e-08       7.358129090549e-09       1.724573549398e-01      -1.599435889437e-09       2.530384050930e-08       1.306062871716e-08       1.860549872153e-03      -4.128376353955e-05      -6.270737515041e-06       1.485531630554e-03      -3.938850196943e-05       1.208505123496e-03 
   16       2.242119834455e-01       6.688566236636e-02       2.097341366412e-02       6.001288095941e-09       1.832231720515e-10      -1.491098557335e-08       2.066584734666e-01       6.305168367740e-02       1.264311596108e-08      -4.567995009161e-08      -1.123908593415e-08       1.910217018028e-01       2.024620226736e-08       2.338260153113e-08      -3.242342744260e-08       2.111399327929e-03      -4.403200202530e-05      -6.335336888203e-06       1.685947439319e-03      -4.229651446601e-05       1.371608577949e-03 
