# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
    2       7.020353826480e-03       1.327075683052e-03      -2.257676180268e-05      -1.042907663429e-07      -2.752341495639e-09       5.759721123110e-03      -3.009455773828e-05      -1.271664240433e-07      -3.268307559183e-09       1.635626053166e-03      -4.888334195064e-07      -1.077143827441e-08       2.220398138876e-04      -8.807963993877e-08       4.530054282245e-05 
    3       1.403586749611e-02       2.730313216541e-03      -2.491413986789e-05      -5.230477213431e-08      -8.652821883813e-10       1.154728310880e-02      -3.637502553501e-05      -7.004575521952e-08      -8.364545291436e-10       3.296500603688e-03      -4.748548210192e-07      -6.193767396467e-09       4.458404044021e-04      -1.128588047974e-07       9.077356608144e-05 
    4       2.314176587036e-02       4.506869580795e-03      -2.248424194682e-05      -2.152615606842e-08      -2.854548294805e-10       1.912004372810e-02      -3.602336846308e-05      -3.149270306840e-08      -2.087415187402e-10       5.522906921040e-03      -3.748860496401e-07      -2.670536343558e-09       7.460791947281e-04      -1.179892992647e-07       1.516090865984e-04 
    5       3.403869993923e-02       6.481736287816e-03      -1.806854267000e-05      -7.748091674870e-09      -3.215061185227e-12       2.826810387213e-02      -3.181158760222e-05      -1.264009607323e-08       3.381748973203e-10       8.304333485822e-03      -2.619346699005e-07      -1.271039512479e-09       1.123517802309e-03      -1.092451227362e-07       2.279230453735e-04 
    6       4.641759839241e-02       8.469205734934e-03      -1.347045736326e-05      -2.646374647317e-09      -1.129893561726e-10       3.875625905083e-02      -2.609302514630e-05      -4.695258776137e-09       1.902948273517e-10       1.162062307907e-02      -1.690153613067e-07      -1.685894581161e-10       1.578689624815e-03      -9.359959951488e-08       3.198265878394e-04 
    7       6.001626094448e-02       1.031516030554e-02      -9.534885221903e-06      -6.767612904633e-10       8.913800626953e-10       5.036414951365e-02      -2.034130519755e-05      -1.774757502120e-09       4.348934548856e-10       1.544371689283e-02      -1.028264445228e-07      -2.243642679072e-10       2.111865706669e-03      -7.540746648024e-08       4.274221629297e-04 
    8       7.465188582738e-02       1.192453982759e-02      -6.500509306966e-06      -1.136971792738e-10      -3.560792127505e-10       6.291526724057e-02      -1.528805714424e-05      -6.785561532767e-10       1.606715126027e-10       1.973977885537e-02      -6.018874119747e-08       3.157261586430e-10       2.723040329367e-03      -5.866679520240e-08       5.507989618527e-04 
    9       9.022685310881e-02       1.327094189443e-02      -4.310398639461e-06       4.688453695820e-11       2.273140285517e-09       7.629097583018e-02      -1.118240726208e-05      -3.241571629059e-10      -5.801780294733e-10       2.447146982158e-02      -3.379000337911e-08      -1.003320584473e-11       3.411926667474e-03      -4.357719258452e-08       6.900325448840e-04 
   10       1.067124372767e-01       1.439003038628e-02      -2.798047952731e-06      -3.745195868726e-10      -2.873846813924e-10       9.042973669185e-02      -8.012529575667e-06      -6.051010896758e-10       1.414039937742e-10       2.960019485741e-02      -1.887320717264e-08       2.806777138846e-10       4.177963465121e-03      -3.215950214938e-08       8.451801590765e-04 
   11       1.241191880413e-01       1.536161509059e-02      -1.787955814221e-06       2.949788373110e-10       1.568065302109e-09       1.053147501020e-01      -5.649397585750e-06      -1.382555006806e-11      -2.804160062149e-09       3.508817694418e-02      -9.946404336216e-09       1.021146546408e-09       5.020324197445e-03      -2.245398980135e-08       1.016284027495e-03 
   12       1.424629563077e-01       1.628609767450e-02      -1.127511582013e-06       4.670895747669e-10       9.826999589194e-10       1.209548080787e-01      -3.932549215235e-06       1.518240918528e-10      -6.211039506361e-10       4.090023389668e-02      -5.319307786395e-09      -2.538001991622e-10       5.937934279768e-03      -1.616437036150e-08       1.203364668044e-03 
   13       1.617336342904e-01       1.726020073348e-02      -7.053108866715e-07       4.311373417840e-10      -2.900764061292e-09       1.373629622603e-01      -2.707310834208e-06       3.041425622320e-10      -2.529456683134e-09       4.700517242778e-02      -2.658882164638e-09       1.981959750081e-09       6.929487753565e-03      -1.069765317883e-08       1.406428125289e-03 
   14       1.818712474662e-01       1.835530898727e-02      -4.368218875141e-07       2.329474430785e-10       6.769486393794e-10       1.545367492359e-01      -1.846868641160e-06      -5.375098727838e-10      -3.162497459531e-09       5.337674072046e-02      -1.604503362643e-09      -8.348146273176e-10       7.993469747676e-03      -7.673432454732e-09       1.625456597768e-03 
   15       2.027526819732e-01       1.960071024617e-02      -2.700233384971e-07       1.207437000228e-10      -2.247891409286e-09       1.724423851260e-01      -1.247407701037e-06       7.751697651121e-11       3.219844062374e-09       5.999413158470e-02      -3.458501832016e-10       2.152948490882e-09       9.128178554556e-03      -4.716478754160e-09       1.860418740001e-03 
   16       2.241913718850e-01       2.097346249740e-02      -1.653629418250e-07       4.766606197230e-10      -1.764602486604e-09       1.910047403078e-01      -8.356064420766e-07      -4.177735667688e-10      -1.692683088885e-09       6.684204298584e-02      -1.069315316386e-09      -7.755033012365e-10       1.033174900243e-02      -3.267649018843e-09       2.111259494034e-03 
   17       2.459513801102e-01       2.239662898708e-02      -1.022634222006e-07       2.775399100170e-10       5.429328792792e-09       2.101042460838e-01      -5.531444551593e-07       3.963618990108e-10       3.198968864740e-09       7.391035793677e-02      -1.182108060200e-10       3.389165164388e-10       1.160218013319e-02      -2.321231316851e-09       2.377909931481e-03 
   18       2.677748955276e-01       2.374700461192e-02      -6.183567468021e-08       7.949752610228e-10       9.106767957906e-09       2.295817678508e-01      -3.626461940600e-07      -2.763883930162e-10       5.148787062241e-09       8.119350033795e-02      -7.059604887794e-10       5.833314055982e-10       1.293735632129e-02      -6.784224772316e-10       2.660280105677e-03 
   19       2.894191500131e-01       2.487233400530e-02      -3.950827954735e-08       3.379684181408e-11      -3.675489443455e-09       2.492514091061e-01      -2.326346262442e-07       1.556750558168e-10      -4.775537333081e-09       8.868955312669e-02      -4.007878212499e-10      -2.452543373510e-09       1.433507775305e-02      -1.262243536105e-09       2.958264490097e-03 
   20       3.106953312923e-01       2.561581393705e-02      -2.388829209973e-08       1.367158541017e-09      -9.752099988333e-09       2.689202742069e-01      -1.478392674317e-07      -2.715626354029e-10      -7.815616379259e-09       9.639922271720e-02      -1.316942388740e-09       4.012629300471e-10       1.579308220725e-02       4.723867394092e-10       3.271741048751e-03 
   21       3.315007554677e-01       2.584378753380e-02      -1.658874476477e-08      -1.622958366683e-10       1.192119443484e-10       2.884122491151e-01      -8.930160921803e-08       1.323650681918e-10       8.049570442294e-10       1.043247265484e-01       8.442602298625e-11      -1.809810246700e-09       1.730907210374e-02      -6.780281136015e-10       3.600569186823e-03 
   22       3.518363271093e-01       2.547106159846e-02      -9.811722575890e-09       1.120506742021e-09      -1.247827431038e-09       3.075919331718e-01      -5.270371153362e-08      -2.031157705840e-10       1.179481537223e-08       1.124686706102e-01      -9.210926146610e-11      -2.279912195679e-09       1.888073638816e-02       1.529199946408e-09       3.944599386557e-03 
   23       3.718051593331e-01       2.447873819190e-02      -9.462392112169e-09      -4.315381741438e-10       8.923652632115e-10       3.263838910044e-01      -2.698773270438e-08      -2.930445180243e-10       2.115663278720e-09       1.208329864762e-01       3.384672541585e-10       1.724453726752e-09       2.050577913914e-02       1.467722364531e-10       4.303657302435e-03 
   24       3.915927724969e-01       2.292089637070e-02      -5.980811235815e-09       1.437648663662e-09       1.860942160861e-09       3.447835252668e-01      -1.293671966402e-08       7.870962242974e-10      -2.654935155062e-09       1.294179559152e-01      -5.801704883032e-10      -3.622751992124e-10       2.218192971452e-02       1.049934441799e-09       4.677569334384e-03 
   25       4.114338843019e-01       2.091944060291e-02      -7.695448626562e-09      -2.017415738421e-10      -5.502375999281e-10       3.628570668142e-01      -1.572892749986e-09      -3.380318319143e-10      -6.720408575620e-11       1.382213727802e-01      -6.376773925865e-10       6.234906416909e-10       2.390698104550e-02       1.439691266972e-09       5.066132688141e-03 
   26       4.315728661672e-01       1.864871401697e-02      -4.098225426267e-09       5.875283946883e-10       7.231062175863e-09       3.807310213195e-01       3.443219019460e-09       1.281086661420e-09      -5.364838675850e-09       1.472378648823e-01      -6.864332409244e-10       8.282104649299e-09       2.567878619731e-02       3.808824700719e-10       5.469149703016e-03 
   27       4.522252503772e-01       1.631366462981e-02      -7.335518953775e-09       2.103369750597e-10       2.130166888657e-09       3.985729447446e-01       8.981768869530e-09      -1.086016260609e-09      -8.551468151810e-10       1.564583876876e-01      -6.173037536048e-10      -9.511463235659e-10       2.749529609451e-02       2.602437148715e-09       5.886396963217e-03 
   28       4.735455302797e-01       1.412535709052e-02      -4.127229590180e-09      -1.731054242410e-10      -5.545890554339e-09       4.165675034049e-01       9.057180590575e-09       2.270552349002e-09      -1.855270736010e-09       1.658699209512e-01      -1.155388356139e-10       3.489022137068e-09       2.935455599720e-02       6.327720362058e-10       6.317652427183e-03 
   29       4.956045605619e-01       1.227752909780e-02      -8.597992828877e-09       8.897595881311e-10       7.862806124506e-11       4.348913588036e-01       1.149663063071e-08      -9.927947248381e-10      -4.091210892321e-09       1.754553729723e-01      -1.215900754420e-09       4.977145563024e-09       3.125473458655e-02       1.962909104592e-09       6.762679862472e-03 
   30       5.183775864033e-01       1.092611178977e-02      -4.529498270196e-09      -1.431680908261e-09      -5.556104247560e-09       4.536907064639e-01       9.699411356757e-09       2.430340928203e-09       8.155316518349e-09       1.851937084096e-01       4.080815336799e-11      -9.879722072219e-09       3.319411521244e-02       2.594674564620e-09       7.221233461047e-03 
   31       5.417436733740e-01       1.017323167436e-02      -8.938118754315e-09       1.625018225683e-09      -4.959848743394e-09       4.730632568229e-01       1.192358904496e-08      -6.988934268879e-10       4.506686759134e-09       1.950602951682e-01      -1.608702582854e-09      -6.128728236516e-09       3.517112544048e-02       3.572548969276e-10       7.693068402814e-03 
   32       5.654963991345e-01       1.005602963020e-02      -4.752242120584e-09      -2.372772182917e-09       1.267266452234e-08       4.930463930118e-01       9.559235866500e-09       2.312724226626e-09      -1.457996055475e-09       2.050274902689e-01       7.704841810147e-11      -4.710716606309e-09       3.718432264458e-02       3.952358196159e-09       8.177922960492e-03 
   33       5.893661146060e-01       1.054140922186e-02      -1.004986815347e-08       1.405051668765e-09       9.031520898251e-09       5.136113326305e-01       1.156506920287e-08       3.688733517179e-10       3.322638549900e-09       2.150654253989e-01      -1.674843351707e-09      -7.337385013160e-09       3.923241223898e-02       2.243134570376e-10       8.675541266292e-03 
   34       6.130520075932e-01       1.152732354053e-02      -5.403678303071e-09      -2.457062775483e-09      -1.094250500464e-08       5.346640339438e-01       7.950835526801e-09       1.353079303587e-09      -7.171371115547e-09       2.251429852986e-01      -1.079094883259e-10      -5.879794550896e-09       4.131424015198e-02       2.227679827669e-09       9.185657042792e-03 
