# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
    2       7.020625985884e-03      -1.933215134657e-06      -1.042910500264e-07      -1.689502050329e-08      -4.654100238838e-09       6.843820467716e-04      -1.627206859917e-06      -1.832778704378e-07      -4.390719826109e-08       2.220478802338e-04      -1.094640380773e-06      -1.709537555419e-07       1.035832732672e-04      -7.987833451886e-07       5.794590936478e-05 
    3       1.403641178728e-02      -1.502014518185e-06      -5.231402189713e-08      -6.503906130495e-09      -1.363403863078e-09       1.377403735902e-03      -2.267159101889e-06      -1.968134966659e-07      -3.899807800034e-08       4.458565331127e-04      -1.795002242339e-06      -2.356751229133e-07       2.077428112788e-04      -1.409674254084e-06       1.161382452266e-04 
    4       2.314267295776e-02      -9.484581644537e-07      -2.152755809727e-08      -2.017020443121e-09      -2.769605839228e-10       2.308603250608e-03      -2.578927950091e-06      -1.718914405065e-07      -2.809798436074e-08       7.461060640054e-04      -2.414716961341e-06      -2.653308795706e-07       3.472715118544e-04      -2.048111940063e-06       1.940170177018e-04 
    5       3.404006019961e-02      -5.308107989777e-07      -7.768694245986e-09      -7.652647789599e-10       1.146754748516e-10       3.478853025873e-03      -2.603438344146e-06      -1.329343694100e-07      -1.798089453120e-08       1.123558096134e-03      -2.891050017081e-06      -2.648988656138e-07       5.224971222320e-04      -2.654409328871e-06       2.917408991531e-04 
    6       4.641950231808e-02      -2.745223570299e-07      -2.651135446829e-09      -3.328686091912e-10       2.094298895594e-10       4.886895841009e-03      -2.428285920209e-06      -9.488955977745e-08      -1.044602147264e-08       1.578746013174e-03      -3.203681094622e-06      -2.444855797278e-07       7.337051166445e-04      -3.188788219292e-06       4.094595938335e-04 
    7       6.001879857935e-02      -1.344215035169e-07      -7.088218087812e-10       4.673479676622e-13       3.107812432479e-10       6.529390463320e-03      -2.140631786982e-06      -6.385356702077e-08      -5.943553833937e-09       2.111940875808e-03      -3.359213791274e-06      -2.128984869577e-07       9.811246109074e-04      -3.628752202617e-06       5.473058723884e-04 
    8       7.465514753447e-02      -6.314849681460e-08      -1.240176710847e-10      -3.191423978304e-10       1.165711234978e-09       8.401066553809e-03      -1.808972084804e-06      -4.130735109878e-08      -2.765217679954e-09       2.723136943252e-03      -3.378998885236e-06      -1.780639700268e-07       1.264919280362e-03      -3.964200419713e-06       7.053928451877e-04 
    9       9.023092868130e-02      -2.880906824693e-08      -9.628361514950e-12       4.939872581583e-10       2.481757035053e-10       1.049494921504e-02      -1.479243458093e-06      -2.566455248832e-08      -1.624688149648e-09       3.412047418583e-03      -3.290657737171e-06      -1.435849877088e-07       1.585181764778e-03      -4.195512141504e-06       8.838086368846e-04 
   10       1.067174173300e-01      -1.289760518420e-08      -3.834728426223e-10       7.198617060077e-10       2.316988321793e-09       1.280262475985e-02      -1.178324840259e-06      -1.560603238764e-08      -2.922943826922e-10       4.178111014855e-03      -3.122646754290e-06      -1.132031404477e-07       1.941931518878e-03      -4.327957096331e-06       1.082616675117e-03 
   11       1.241251621107e-01      -5.536446836419e-09       1.799267534636e-10      -7.284753296627e-10       1.033872859250e-10       1.531453532593e-02      -9.186046414930e-07      -9.280889137252e-09      -2.922962252281e-10       5.020501247579e-03      -2.900759156813e-06      -8.685721776289e-08       2.335112230505e-03      -4.372685202758e-06       1.301852203767e-03 
