# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 1000, i.e. number of multipoles equal to 999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
    2       7.020717896866e-03       2.959028408972e-03       1.327075102603e-03      -2.753347745196e-09      -1.385304615866e-10       5.226823559146e-11       6.344939404947e-03       2.681632763793e-03      -2.996790736921e-09      -2.072853487916e-10       1.023574842181e-10       5.760020932401e-03      -3.268878110423e-09      -1.601311238266e-10       8.435707078959e-11       4.530271048548e-05      -3.165052389386e-10      -2.972726373735e-10       9.996571828272e-07       1.030233628893e-07       9.545367232283e-07 
    3       1.403659556039e-02       5.950924621083e-03       2.730312013558e-03      -8.690005423685e-10      -1.147038925113e-11       7.057511600232e-10       1.270467781851e-02       5.407417037080e-03      -7.250658601215e-10       2.108043204998e-10       3.197966988661e-10       1.154788282620e-02      -8.333923670489e-10       3.024347076049e-10      -5.747619212120e-11       9.077790102093e-05      -2.994998965070e-10      -2.197734368409e-10       2.000354474341e-06       2.070788329333e-07       1.910044433809e-06 
    4       2.314297941326e-02       9.764735415361e-03       4.506867665141e-03      -2.887628642444e-10      -1.024255871781e-09       3.870466902629e-10       2.099502463299e-02       8.910818154391e-03      -2.035141353334e-10      -9.475678145685e-10       4.408056253124e-10       1.912104307909e-02      -2.092846583257e-10      -5.503696588933e-10       2.699470502842e-10       1.516163086865e-04      -2.433120189951e-10      -2.257178323842e-10       3.335951850559e-06       3.472029236458e-07       3.185342978757e-06 
    5       3.404052001189e-02       1.415992414769e-02       6.481733208927e-03      -1.071090731207e-11       3.526610015672e-10       6.807586644884e-10       3.096541602627e-02       1.299033685692e-02       5.096315747103e-10       6.772808756313e-10      -4.759764705386e-10       2.826960305280e-02       3.444897166333e-10       6.031460935862e-10      -1.204383333689e-09       2.279338770997e-04      -1.544063248866e-10       1.327608357406e-11       5.007393381690e-06       5.242853702213e-07       4.781260586162e-06 
    6       4.642014671591e-02       1.888561679708e-02       8.469201616560e-03      -1.195174578446e-10      -2.596845000758e-09       1.197366382390e-09       4.234569397325e-02       1.742600776037e-02       1.830850716126e-10      -1.337280511716e-09       7.981599655990e-10       3.875835740477e-02       1.921213214813e-10       1.802776454818e-11       1.138227487319e-10       3.198417459963e-04      -1.175798431352e-10      -1.097313885598e-10       7.015604106848e-06       7.394018920717e-07       6.698774655837e-06 
    7       6.001965812631e-02       2.373094529527e-02       1.031515434233e-02       8.816135190117e-10       7.439732577566e-10      -3.515179926187e-09       5.489401707989e-02       2.202181425497e-02       1.255542151265e-09       7.145822131485e-10      -4.157783296811e-09       5.036694761381e-02       4.427084185023e-10       1.006350903026e-10      -3.665329243733e-09       4.274423709491e-04      -5.217230452732e-11       2.548010030107e-10       9.361724392147e-06       9.935652890104e-07       8.938816220065e-06 
    8       7.465625398065e-02       2.855596336580e-02       1.192453236550e-02      -3.596572305609e-10       1.991414553374e-09      -1.062896776383e-10       6.842829600648e-02       2.663485990091e-02       3.135258777838e-10       3.874318427070e-09      -1.204894994780e-09       6.291886370022e-02       1.688992728265e-10       4.711173549571e-09      -2.102772433330e-09       5.508249329669e-04      -5.396565288698e-11      -5.601195128586e-11       1.204668375809e-05       1.287992709140e-06       1.150247222704e-05 
    9       9.023231261789e-02       3.329997655173e-02       1.327093194553e-02       2.257696974547e-09       2.716481032375e-09      -2.100691341043e-09       8.283748506266e-02       3.118763610246e-02       1.289103857676e-09       1.409218692283e-09      -4.309156710231e-10       7.629547189803e-02      -5.763674613729e-10       1.031574893575e-10       1.950340718823e-09       6.900650042634e-04      -3.548798505250e-11       4.681880287463e-10       1.507179007836e-05       1.623753927317e-06       1.439070782207e-05 
   10       1.067191103026e-01       3.797028189748e-02       1.439001867070e-02      -2.771237447241e-10       3.486288353994e-09      -1.494745048332e-09       9.807455532315e-02       3.566426151428e-02       8.570870702338e-10       2.984703349724e-09      -1.934905763883e-09       9.043523038195e-02       1.483959194447e-10       8.697906277160e-10      -1.445413295058e-09       8.452198164612e-04      -1.698332823732e-11      -2.981586480042e-11       1.843784390516e-05       2.002117025064e-06       1.760463688140e-05 
   11       1.241271942124e-01       4.261807944259e-02       1.536159976209e-02       1.540114219619e-09      -1.623212529577e-09      -1.520776490775e-10       1.141366513633e-01       4.009482800077e-02      -1.164115408347e-09      -3.193616907407e-09       2.364622604631e-09       1.053213431595e-01      -2.801224866312e-09      -3.528460719440e-09       3.601115453841e-09       1.016331610105e-03      -1.052928093031e-10       6.388219958963e-10       2.214633991394e-05       2.424191591668e-06       2.114523328749e-05 
   12       1.424724190194e-01       4.730904419499e-02       1.628607996439e-02       9.850669351582e-10       2.696462805356e-09      -3.398422140114e-09       1.310391142357e-01       4.453331840065e-02       1.472222999730e-09      -1.000797727297e-09      -1.263714989317e-09       1.209625974381e-01      -6.418352998056e-10      -4.010809159619e-09       8.921919101139e-10       1.203420882928e-03       4.693141448614e-11       2.079472285729e-11       2.619781891782e-05       2.891202221496e-06       2.501355604029e-05 
   13       1.617446727095e-01       5.209472290209e-02       1.726017902169e-02      -2.916088089714e-09      -4.666009455263e-09       8.018482045939e-09       1.487891993363e-01       4.903411519836e-02      -4.082381834252e-09      -2.523578977014e-09       5.789681973820e-09       1.373720507609e-01      -2.510124015343e-09      -2.726944383412e-11       2.625508083561e-09       1.406493701441e-03      -3.029734777242e-10       7.026017663557e-10       3.059400417774e-05       3.404316314818e-06       2.921059008485e-05 
   14       1.818839854195e-01       5.698895605742e-02       1.835528506073e-02       6.477796479545e-10      -1.094404741036e-08       7.306787515488e-09       1.673636842600e-01       5.363085671023e-02      -7.119929870611e-10      -9.460026065677e-09       7.269790125876e-09       1.545472335692e-01      -3.189209092059e-09      -6.258532930179e-09       6.047444748171e-09       1.625532240825e-03       2.329650546736e-10       1.563641448952e-10       3.533506360495e-05       3.964615101852e-06       3.373726339546e-05 
   15       2.027672376675e-01       6.195217747785e-02       1.960068148620e-02      -2.292515528529e-09       6.372106781670e-09      -8.750706413655e-09       1.866931295748e-01       5.832012770825e-02       1.224617004450e-10       6.366943559835e-09      -9.634340915517e-09       1.724543688596e-01       3.230484545919e-09       5.526764458902e-09      -9.495788316222e-09       1.860505180281e-03      -6.990132962652e-10       5.876298359612e-10       4.042298432828e-05       4.573368322086e-06       3.859457994684e-05 
   16       2.242078700013e-01       6.688576540556e-02       2.097343137460e-02      -1.832568721265e-09       1.028354762279e-08      -5.912858117607e-09       2.066548025206e-01       6.305177421353e-02      -2.485425304818e-09       1.242048809679e-08      -7.657589526140e-09       1.910183185927e-01      -1.703519772503e-09       1.354299536197e-08      -9.106358067942e-09       2.111357436955e-03       5.564510883452e-10       3.576277219140e-10       4.585748892951e-05       5.231410409059e-06       4.378329225214e-05 
