# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
    2       7.020826614025e-03       2.959028371920e-03       1.327075081310e-03      -2.753344778993e-09      -1.382662774079e-10       5.194075251436e-11       6.345037742800e-03       2.681632772407e-03      -2.997027064410e-09      -2.070297022577e-10       1.019940570359e-10       5.760110286298e-03      -3.269045299036e-09      -1.600416049629e-10       8.417552856767e-11       4.530344044754e-05      -3.165363663585e-10      -2.972801814561e-10       9.996737344682e-07       1.030233698752e-07       9.545525172411e-07 
    3       1.403681301027e-02       5.950924534168e-03       2.730311959751e-03      -8.689781932306e-10      -1.127411374725e-11       7.059772641293e-10       1.270487450302e-02       5.407417061805e-03      -7.247555247697e-10       2.115289572678e-10       3.197341077879e-10       1.154806154032e-02      -8.332826287368e-10       3.033752520017e-10      -5.769975588810e-11       9.077936105574e-05      -2.994574677377e-10      -2.198058850708e-10       2.000387589327e-06       2.070788209091e-07       1.910076060865e-06 
    4       2.314334180283e-02       9.764735291121e-03       4.506867593701e-03      -2.887498769139e-10      -1.023220120300e-09       3.861332857162e-10       2.099535242501e-02       8.910818182450e-03      -2.041744225837e-10      -9.468714657771e-10       4.400875755979e-10       1.912134092467e-02      -2.095902317721e-10      -5.503268163246e-10       2.700109042999e-10       1.516187418931e-04      -2.434131276998e-10      -2.257449921430e-10       3.336007021634e-06       3.472029470670e-07       3.185395625317e-06 
    5       3.404106363515e-02       1.415992392928e-02       6.481733073731e-03      -1.040883759871e-11       3.537769137122e-10       6.809469211843e-10       3.096590773623e-02       1.299033691779e-02       5.104009153357e-10       6.791467054116e-10      -4.764975033242e-10       2.827004983698e-02       3.444108872372e-10       6.047709591512e-10      -1.205111734807e-09       2.279375271838e-04      -1.543174413943e-10       1.319895220168e-11       5.007476171094e-06       5.242853398534e-07       4.781339654030e-06 
    6       4.642090773195e-02       1.888561653473e-02       8.469201465798e-03      -1.195748379346e-10      -2.594986317258e-09       1.196026664867e-09       4.234638233474e-02       1.742600781794e-02       1.819926215952e-10      -1.336892571884e-09       7.978435993313e-10       3.875898287886e-02       1.919635060792e-10       1.711453846189e-11       1.151404323822e-10       3.198468557327e-04      -1.177809976293e-10      -1.097946594150e-10       7.015719962894e-06       7.394019418086e-07       6.698885213455e-06 
    7       6.002067288747e-02       2.373094488586e-02       1.031515408905e-02       8.830066976963e-10       7.456351697632e-10      -3.515582083858e-09       5.489493493643e-02       2.202181436725e-02       1.256880102562e-09       7.163275465159e-10      -4.159056510048e-09       5.036778160909e-02       4.418413092581e-10       1.007639247685e-10      -3.666318585710e-09       4.274491844251e-04      -5.205712189765e-11       2.546685724351e-10       9.361878937001e-06       9.935652312852e-07       8.938963813395e-06 
    8       7.465755857662e-02       2.855596291416e-02       1.192453210635e-02      -3.586666220153e-10       1.990382033404e-09      -1.100980604377e-10       6.842947605202e-02       2.663485999777e-02       3.130849941730e-10       3.871074989934e-09      -1.205638987431e-09       6.291993593914e-02       1.697133383514e-10       4.707465334864e-09      -2.101144338221e-09       5.508336925349e-04      -5.427829424462e-11      -5.613474352438e-11       1.204688236204e-05       1.287992796065e-06       1.150266175515e-05 
    9       9.023394348124e-02       3.329997589196e-02       1.327093153797e-02       2.261099165663e-09       2.722625246784e-09      -2.105292589840e-09       8.283896018685e-02       3.118763628157e-02       1.290329384052e-09       1.412186744494e-09      -4.344090448554e-10       7.629681224526e-02      -5.789761364642e-10       1.023182883117e-10       1.948934791094e-09       6.900759544415e-04      -3.541725820567e-11       4.680025910101e-10       1.507203846198e-05       1.623753831804e-06       1.439094502378e-05 
   10       1.067211034327e-01       3.797028120623e-02       1.439001827484e-02      -2.722283645405e-10       3.481350021017e-09      -1.486954525654e-09       9.807635816806e-02       3.566426166111e-02       8.583831178110e-10       2.980184041882e-09      -1.925989996992e-09       9.043686852275e-02       1.495195682781e-10       8.683104299485e-10      -1.437506399655e-09       8.452331992039e-04      -1.739175435232e-11      -3.003221295097e-11       1.843814731812e-05       2.002117161841e-06       1.760492644240e-05 
   11       1.241295861419e-01       4.261807847313e-02       1.536159916430e-02       1.546115675289e-09      -1.627666103330e-09      -1.523480506780e-10       1.141388148758e-01       4.009482826206e-02      -1.164407335199e-09      -3.202102869283e-09       2.368394730977e-09       1.053233089991e-01      -2.805783642658e-09      -3.538200544685e-09       3.607011674995e-09       1.016347670246e-03      -1.053994930701e-10       6.386092831920e-10       2.214670422057e-05       2.424191445740e-06       2.114558117616e-05 
