# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[1]-dens[7]        9:dens[1]-dens[8]       10:dens[1]-dens[9]       11:dens[1]-dens[10]      12:dens[2]-dens[2]       13:dens[2]-dens[3]       14:dens[2]-dens[4]       15:dens[2]-dens[5]       16:dens[2]-dens[6]       17:dens[2]-dens[7]       18:dens[2]-dens[8]       19:dens[2]-dens[9]       20:dens[2]-dens[10]      21:dens[3]-dens[3]       22:dens[3]-dens[4]       23:dens[3]-dens[5]       24:dens[3]-dens[6]       25:dens[3]-dens[7]       26:dens[3]-dens[8]       27:dens[3]-dens[9]       28:dens[3]-dens[10]      29:dens[4]-dens[4]       30:dens[4]-dens[5]       31:dens[4]-dens[6]       32:dens[4]-dens[7]       33:dens[4]-dens[8]       34:dens[4]-dens[9]       35:dens[4]-dens[10]      36:dens[5]-dens[5]       37:dens[5]-dens[6]       38:dens[5]-dens[7]       39:dens[5]-dens[8]       40:dens[5]-dens[9]       41:dens[5]-dens[10]      42:dens[6]-dens[6]       43:dens[6]-dens[7]       44:dens[6]-dens[8]       45:dens[6]-dens[9]       46:dens[6]-dens[10]      47:dens[7]-dens[7]       48:dens[7]-dens[8]       49:dens[7]-dens[9]       50:dens[7]-dens[10]      51:dens[8]-dens[8]       52:dens[8]-dens[9]       53:dens[8]-dens[10]      54:dens[9]-dens[9]       55:dens[9]-dens[10]      56:dens[10]-dens[10]  
    2       2.838105553843e-02      -1.944305559395e-04      -2.191776703167e-05      -4.273966799778e-06      -1.215340877285e-06      -4.347324043104e-07      -1.807888203553e-07      -8.673425916868e-08      -5.071524923237e-08      -1.546906147413e-08       7.020844331984e-03      -1.374562849767e-04      -2.257739835853e-05      -5.716402541178e-06      -1.933008322973e-06      -7.850774446782e-07      -3.660385306754e-07      -1.855384494818e-07      -1.009977732087e-07       3.008349506346e-03      -8.971639317469e-05      -1.844066088493e-05      -5.451496593249e-06      -2.065243372228e-06      -9.183086459370e-07      -4.572931283605e-07      -2.461341553464e-07       1.635741022174e-03      -6.125761485486e-05      -1.463267997002e-05      -4.795168610871e-06      -1.969769516923e-06      -9.319682714434e-07      -4.890155599595e-07       1.014732191670e-03      -4.381034896449e-05      -1.172419843089e-05      -4.136682161104e-06      -1.802265589017e-06      -8.968967128627e-07       6.844032115092e-04      -3.248817301822e-05      -9.567261321551e-06      -3.567861303343e-06      -1.627830530636e-06       4.891012941293e-04      -2.472694122063e-05      -7.959455655754e-06      -3.096519376404e-06       3.646926187264e-04      -1.913873196670e-05      -6.737599565974e-06       2.809277317181e-04      -1.494050842004e-05       2.220538819102e-04 
    3       5.383457772947e-02      -1.802201217948e-04      -1.607672799850e-05      -2.408736487410e-06      -5.625889416306e-07      -1.753827056573e-07      -6.322962774942e-08      -3.857647338135e-08      -6.398704048627e-09      -5.517364635461e-09       1.403684324704e-02      -1.860613909093e-04      -2.491419725025e-05      -5.193295880969e-06      -1.500980538396e-06      -5.361466159800e-07      -2.182784483949e-07      -1.053944452664e-07      -4.640233843751e-08       6.059133955587e-03      -1.391087811235e-04      -2.444528126199e-05      -6.201292969102e-06      -2.064071035172e-06      -8.173372565364e-07      -3.691171675560e-07      -1.840112921745e-07       3.296732212188e-03      -1.018550511801e-04      -2.153471346605e-05      -6.233378567005e-06      -2.293805831537e-06      -9.862189053360e-07      -4.777246079651e-07       2.043891967049e-03      -7.595935397523e-05      -1.845610835341e-05      -5.865066015585e-06      -2.330655702844e-06      -1.063542830728e-06       1.377448541644e-03      -5.788241870166e-05      -1.577780572882e-05      -5.383801023346e-06      -2.268642257081e-06       9.836549677536e-04      -4.487893323808e-05      -1.357474375535e-05      -4.896655519537e-06       7.329855137078e-04      -3.518600704516e-05      -1.178608899392e-05       5.643359226735e-04      -2.771666424373e-05       4.458707189342e-04 
    4       8.404910696469e-02      -1.285094412982e-04      -9.683720472664e-06      -1.112048216932e-06      -2.173132138652e-07      -5.325213752107e-08      -1.160497161958e-08      -7.805065962783e-09      -2.345006338785e-08       3.349253488421e-08       2.314338074916e-02      -2.036007758795e-04      -2.248520837473e-05      -3.843138428034e-06      -9.474003924033e-07      -2.902159550810e-07      -1.109583246446e-07      -3.727645899933e-08      -1.126940507651e-08       1.011998773765e-02      -1.761524028175e-04      -2.650953701683e-05      -5.747270618744e-06      -1.680237131232e-06      -5.991661729001e-07      -2.457612942664e-07      -1.033812521438e-07       5.523289974736e-03      -1.388616878084e-04      -2.596084129088e-05      -6.603113338796e-06      -2.184060863154e-06      -8.509518735799e-07      -3.750632896384e-07       3.426261510579e-03      -1.082294425656e-04      -2.382569528770e-05      -6.802412302462e-06      -2.457963432292e-06      -1.035290095649e-06       2.308674154002e-03      -8.488277413273e-05      -2.136595494977e-05      -6.653320116674e-06      -2.581012519435e-06       1.648022475869e-03      -6.712197993868e-05      -1.904528424995e-05      -6.339623384743e-06       1.227535503030e-03      -5.335034946394e-05      -1.698572725132e-05       9.447081384319e-04      -4.241161487608e-05       7.461259416490e-04 
    5       1.182211058228e-01      -7.617011349612e-05      -5.226403822890e-06      -4.508673107115e-07      -7.477032327986e-08      -2.628883863718e-08      -4.014170288511e-09      -1.605904206801e-08       2.504279861786e-08       1.616924211530e-08       3.404110559521e-02      -1.946009770314e-04      -1.806824593008e-05      -2.518220515569e-06      -5.274858548355e-07      -1.461466072957e-07      -3.880964806715e-08      -2.676879628046e-08       7.873185013668e-09       1.513703160741e-02      -1.973156476354e-04      -2.557867328267e-05      -4.723225448435e-06      -1.207420436934e-06      -3.781048287686e-07      -1.382657208303e-07      -6.050233402102e-08       8.304910849484e-03      -1.681681827815e-04      -2.785164722703e-05      -6.218084414338e-06      -1.831217785953e-06      -6.466018807371e-07      -2.703411396750e-07       5.160607752454e-03      -1.372680308026e-04      -2.739917604101e-05      -6.993428540024e-06      -2.299247590780e-06      -8.806246356199e-07       3.478964985199e-03      -1.109335305004e-04      -2.579386248358e-05      -7.300705846041e-06      -2.606739711364e-06       2.483430052054e-03      -8.953070274139e-05      -2.382373278934e-05      -7.309088896051e-06       1.849453212853e-03      -7.216936487217e-05      -2.183126399034e-05       1.423004324152e-03      -5.793217159084e-05       1.123594105079e-03 
    6       1.563364435279e-01      -3.891110822315e-05      -2.634896183589e-06      -1.723237271477e-07      -2.912529252541e-08      -1.876824301279e-09      -5.974204571140e-09      -1.618956505720e-08      -2.899064659483e-08       4.529800518889e-08       4.642094471208e-02      -1.680256800492e-04      -1.347205052565e-05      -1.531879058438e-06      -2.697093766341e-07      -5.533185805408e-08      -2.279570043620e-08       1.441731711573e-08       1.477166013811e-08       2.103426081721e-02      -2.028700320358e-04      -2.286684162198e-05      -3.587065724106e-06      -8.060099667168e-07      -2.328662355912e-07      -8.192437818478e-08      -1.155385287451e-08       1.162142381926e-02      -1.878644796425e-04      -2.767943227402e-05      -5.397489896395e-06      -1.435562129995e-06      -4.597805664680e-07      -1.682107806727e-07       7.241359247410e-03      -1.609364058741e-04      -2.917879081835e-05      -6.665206010744e-06      -1.985875913538e-06      -7.090081511987e-07       4.887044904748e-03      -1.341768589301e-04      -2.884566735660e-05      -7.417169375462e-06      -2.432891270166e-06       3.489961723832e-03      -1.106016998023e-04      -2.763549252891e-05      -7.785679443632e-06       2.599253267538e-03      -9.045938155654e-05      -2.604413338015e-05       1.999759401489e-03      -7.330064311209e-05       1.578787186938e-03 
    7       1.982126509014e-01      -1.510642508802e-05      -1.267827548982e-06      -5.380214774195e-08      -1.522050554036e-08      -1.339270378551e-08      -7.480001252499e-09       2.273278847681e-09       7.258858539074e-08       6.416167050133e-08       6.002070026608e-02      -1.331143811657e-04      -9.534944700940e-06      -8.764509505596e-07      -1.302515396578e-07      -2.619438551695e-08       1.244841775389e-08      -2.337139295993e-08       2.660521317981e-08       2.772276625012e-02      -1.951981431911e-04      -1.937286634377e-05      -2.575336833381e-06      -5.022623233817e-07      -1.217132473243e-07      -2.737765834517e-08      -1.756029501240e-08       1.544478763902e-02      -1.976022917924e-04      -2.605926059583e-05      -4.446870235836e-06      -1.045125986491e-06      -3.007079377289e-07      -1.209456947775e-07       9.658947260232e-03      -1.781062098251e-04      -2.945441476402e-05      -5.980239483481e-06      -1.625191056096e-06      -5.174114532690e-07       6.529597857679e-03      -1.533745049999e-04      -3.057982202617e-05      -7.120153384356e-06      -2.145655154948e-06       4.666573801913e-03      -1.291985643028e-04      -3.037361914759e-05      -7.863263831229e-06       3.476721950465e-03      -1.072280318407e-04      -2.942415899291e-05       2.675175868809e-03      -8.774576487399e-05       2.112009266465e-03 
    8       2.427374171803e-01       3.150943565864e-06      -5.970741122728e-07      -2.130182517794e-08      -8.141913337331e-09       2.078369081243e-08      -2.968440564856e-08      -3.409760784388e-08       1.459793627841e-08      -4.143072286785e-08       7.465756938078e-02      -9.730170263893e-05      -6.502961168353e-06      -4.871941654424e-07      -4.611329914199e-08      -5.368724078316e-10      -1.080225594029e-08       3.404676522784e-08       1.511831956469e-08       3.511014462070e-02      -1.776297214140e-04      -1.578450885910e-05      -1.775348087939e-06      -3.070632285923e-07      -7.354654410016e-08      -3.096584425004e-08       2.313289792947e-08       1.974114344277e-02      -1.980617963568e-04      -2.357156381923e-05      -3.495685100051e-06      -7.548239011353e-07      -1.992828972308e-07      -5.776311797815e-08       1.240039443475e-02      -1.883828861749e-04      -2.853811142483e-05      -5.180515253989e-06      -1.268921135206e-06      -3.888676522339e-07       8.401321890670e-03      -1.677900730408e-04      -3.112008530257e-05      -6.561722455223e-06      -1.817890772751e-06       6.011064180082e-03      -1.445487338916e-04      -3.207225632263e-05      -7.597419771710e-06       4.481046011404e-03      -1.217924047073e-04      -3.197159389564e-05       3.448916784671e-03      -1.005921419967e-04       2.723206115672e-03 
    9       2.879398289240e-01       2.036184211225e-05      -2.733683197089e-07      -9.188219758970e-09      -1.669864093692e-08      -1.938192170533e-08      -2.372761570995e-09       6.810344360597e-08       9.193088623577e-08       7.202224250335e-08       9.023393756330e-02      -6.540760580664e-05      -4.312250400213e-06      -2.637974152196e-07      -2.951865752858e-08       2.316120889225e-09       2.953915930748e-08      -4.481316176010e-08       4.577944678769e-08       4.310878485589e-02      -1.536870306059e-04      -1.247281895120e-05      -1.181575674804e-06      -1.740905212792e-07      -3.239296820159e-08       1.828463792997e-08      -8.312490913449e-09       2.447317598983e-02      -1.905386018220e-04      -2.067624556842e-05      -2.679609749371e-06      -5.057629121315e-07      -1.170573224175e-07      -6.341557629588e-08       1.544994527175e-02      -1.919429236511e-04      -2.683283957071e-05      -4.298551603366e-06      -9.737143712782e-07      -2.549558181101e-07       1.049527779402e-02      -1.771220768910e-04      -3.072116333369e-05      -5.851608484328e-06      -1.484433273128e-06       7.520247822992e-03      -1.561555065885e-04      -3.283115723392e-05      -7.135169647286e-06       5.610656542185e-03      -1.335724687595e-04      -3.363701721734e-05       4.320378691715e-03      -1.113898932356e-04       3.412159019499e-03 
   10       3.319763903006e-01       3.435090244433e-05      -1.227445929961e-07       1.258113130689e-08      -5.775938187334e-09       1.908242783235e-08      -8.456287169495e-08      -6.299736613681e-09       1.573220440536e-07      -1.668057579599e-07       1.067210747779e-01      -3.961061760741e-05      -2.801851688720e-06      -1.350598690147e-07       1.519381387917e-08       5.048164139096e-09       6.722773469601e-10       3.562498029421e-08      -1.244534022804e-08       5.164249724385e-02      -1.265903943696e-04      -9.639960544993e-06      -7.732256271163e-07      -1.020593025829e-07      -1.811871048772e-08      -2.537052433147e-08       3.668515950320e-08       2.960226826745e-02      -1.766589030686e-04      -1.770253281881e-05      -1.983264693137e-06      -3.615626058197e-07      -7.769407612941e-08      -1.841252573490e-08       1.878987419178e-02      -1.893170218398e-04      -2.458726095618e-05      -3.529339414749e-06      -7.078528266500e-07      -1.915156612735e-07       1.280301424514e-02      -1.813399609123e-04      -2.956595177180e-05      -5.083044704686e-06      -1.194028294603e-06       9.189915242817e-03      -1.637733072771e-04      -3.277796746605e-05      -6.496696061247e-06       6.863507628431e-03      -1.423012020222e-04      -3.457151992956e-05       5.288352378096e-03      -1.197291288897e-04       4.178214847716e-03 
   11       3.742180546109e-01       3.950198054373e-05      -5.183586042540e-08      -2.338278670190e-08       2.745937268047e-08      -5.095774519934e-08      -2.273345577955e-08       1.340915463765e-07       2.425244212127e-09      -1.450712574600e-07       1.241295426998e-01      -1.996967519116e-05      -1.795252505826e-06      -8.235125097265e-08      -1.079200677737e-08       1.676042846509e-08       1.372704375752e-08      -3.195585841477e-08       4.563177311727e-08       6.065060831389e-02      -9.902175746198e-05      -7.299733747050e-06      -4.858929985576e-07      -5.806473133454e-08      -1.399966248453e-08       4.264739207013e-08      -6.153828909472e-09       3.509065769864e-02      -1.581157903231e-04      -1.486585311775e-05      -1.457360965908e-06      -2.294973592476e-07      -4.134030339179e-08      -4.378544625030e-08       2.240114377019e-02      -1.813071832886e-04      -2.212061849331e-05      -2.772310347947e-06      -5.424845258354e-07      -1.195503752105e-07       1.531500864971e-02      -1.807262526861e-04      -2.791007258494e-05      -4.329821503247e-06      -9.226750889025e-07       1.101517031381e-02      -1.673581841626e-04      -3.209326047730e-05      -5.831692577456e-06       8.236836631306e-03      -1.477032859173e-04      -3.477315410584e-05       6.351499775064e-03      -1.254199752231e-04       5.020665252086e-03 
   12       4.155382722998e-01       3.245674582141e-05      -2.377590558289e-08       8.693690930233e-09       3.085673547017e-08       1.512246679051e-08      -1.234442970679e-07       1.288535146486e-07       1.536987061927e-07       9.642940738597e-09       1.424751714181e-01      -5.177379201678e-06      -1.126862721531e-06      -2.719247295502e-08       2.381017412298e-08      -1.363809345973e-09       1.415992602641e-08       1.086152397273e-08      -4.891644203791e-08       7.008981208180e-02      -7.291848269591e-05      -5.462930882396e-06      -3.122955278602e-07      -1.662957012261e-08       1.664615940792e-08      -2.297956363768e-08       2.575486925932e-08       4.090315950455e-02      -1.365951685531e-04      -1.228323365020e-05      -1.031684114724e-06      -1.758043034284e-07      -2.659302897828e-08      -1.811949015950e-08       2.626428689702e-02      -1.688099229239e-04      -1.954556366686e-05      -2.209497415803e-06      -3.564125525538e-07      -9.125254896757e-08       1.802083506442e-02      -1.756163426347e-04      -2.590047112785e-05      -3.609804438096e-06      -7.249846688959e-07       1.299024899625e-02      -1.669912058607e-04      -3.087511894768e-05      -5.101169165425e-06       9.727566511653e-03      -1.498164873246e-04      -3.444621501880e-05       7.507829688759e-03      -1.282717905371e-04       5.938291349553e-03 
   13       4.577034219779e-01       1.587992534776e-05       9.535452209140e-09      -2.268333080909e-08       2.434745722489e-09      -6.140846493470e-08      -9.635271029161e-08       1.335149691109e-07      -1.085140997541e-07      -3.898750126820e-08       1.617478838233e-01       6.577433880850e-06      -7.119841455494e-07      -2.829347930852e-08      -6.817621264756e-09       6.054311878363e-08      -1.016640130525e-09       1.890542984359e-08      -3.523563951745e-08       7.993352087695e-02      -4.956317100250e-05      -4.024662427096e-06      -1.858868551152e-07      -2.973570279746e-08      -3.296453493704e-08       4.095277770556e-08       9.095587759419e-09       4.700856929185e-02      -1.135442177483e-04      -1.002822615991e-05      -7.431258997785e-07      -1.186848557800e-07      -1.548508803582e-08      -2.768032244185e-08       3.035992466939e-02      -1.528393085921e-04      -1.707349983016e-05      -1.654913272873e-06      -3.098824743430e-07      -6.692645840265e-08       2.090958802407e-02      -1.666261809869e-04      -2.371210487084e-05      -2.985216359413e-06      -5.375734187066e-07       1.510911075257e-02      -1.629366540372e-04      -2.933393778625e-05      -4.436612872682e-06       1.133201889367e-02      -1.485830103697e-04      -3.360644674071e-05       8.755389066017e-03      -1.282693515699e-04       6.929952896495e-03 
   14       5.023362412710e-01      -2.422114528473e-06      -8.995445034996e-09      -4.408133025571e-08      -2.503608298830e-08      -4.911558827182e-09      -9.454310095075e-08       2.076916373995e-07      -2.452145412047e-07       6.425540017749e-08       1.818876780206e-01       1.682529170221e-05      -4.404247138328e-07      -1.872503146120e-08       2.643583458805e-08      -5.255149752022e-09       2.573359124978e-08      -4.762485848766e-08      -3.363926945763e-08       9.016946303999e-02      -2.949878256202e-05      -2.944071798712e-06      -1.073389092376e-07       2.567051048612e-08       5.430950205117e-08      -1.236756545606e-08       1.762082404830e-09       5.338066099686e-02      -9.027630241934e-05      -8.075788323118e-06      -5.055685040645e-07      -9.189924516363e-08       1.739792553096e-09      -3.875037154073e-08       3.466959463052e-02      -1.342980187338e-04      -1.471002278414e-05      -1.303789503748e-06      -1.655700914992e-07      -4.919048479072e-08       2.397010368756e-02      -1.542159276991e-04      -2.146401370824e-05      -2.405548999365e-06      -4.153083623637e-07       1.736497725037e-02      -1.554277733714e-04      -2.749244428169e-05      -3.780580164234e-06       1.304630903656e-02      -1.442307153638e-04      -3.242278740282e-05       1.009155582672e-02      -1.254153121833e-04       7.993956612334e-03 
   15       5.499356158140e-01      -1.379669701230e-05       1.034558724067e-09       1.097761756407e-08      -1.212495805716e-08      -5.411951832107e-08      -2.254117890958e-07       1.262020067247e-07      -2.350948046831e-07      -9.376904789938e-08       2.027714534269e-01       2.646381920794e-05      -2.645017673698e-07       4.815585573799e-09      -3.543284358448e-08       8.123548352780e-08      -1.587958421392e-08       9.850483057165e-08      -1.962040715464e-07       1.007959967827e-01      -1.279698172381e-05      -2.140352821587e-06      -8.578750189203e-08      -1.414939306527e-08      -4.391522946409e-08       8.979721337768e-09       1.389475275831e-08       5.999858478054e-02      -6.772898431943e-05      -6.476711366855e-06      -3.579371463062e-07      -9.848987189757e-08      -1.192234227054e-08       7.018559619207e-09       3.917607402642e-02      -1.141815081823e-04      -1.258189237281e-05      -9.349992058112e-07      -1.957148195082e-07      -5.590140192708e-08       2.719129008354e-02      -1.391618452270e-04      -1.920998482995e-05      -1.958162976527e-06      -3.062218700014e-07       1.975124060646e-02      -1.449515352995e-04      -2.556547004566e-05      -3.197830532502e-06       1.486619714837e-02      -1.368597755829e-04      -3.096293715769e-05       1.151388491596e-02      -1.197746628112e-04       9.128779692230e-03 
   16       5.994161277085e-01      -1.360962915132e-05      -2.700762443626e-08      -3.171827920232e-08       1.047091937476e-08      -4.165592455010e-08       5.132778571286e-08      -1.788996328070e-07       4.108947992285e-08       1.076352224085e-07       2.242126458475e-01       3.539966589008e-05      -1.683361359920e-07      -1.495438728240e-08       5.399048021204e-08      -3.756789468303e-08      -4.338885816819e-09      -5.763340596988e-08       2.817830740849e-08       1.118175343081e-01       9.145159041941e-07      -1.535181926264e-06      -1.361224843703e-08       4.981030126896e-08       6.044787244249e-08       5.280384330940e-08      -7.864275535536e-09       6.684710744310e-02      -4.665953327379e-05      -5.111971981915e-06      -2.506183287052e-07      -5.405580989898e-08       1.782303411673e-08      -8.367548387615e-08       4.386394099868e-02      -9.319285182599e-05      -1.065749827772e-05      -7.240970793209e-07      -8.256236944202e-08      -3.422441121227e-08       3.056236161401e-02      -1.218928855868e-04      -1.709701377762e-05      -1.524058962869e-06      -2.235791945696e-07       2.226071041582e-02      -1.317365001163e-04      -2.350494785241e-05      -2.691216261822e-06       1.678722378989e-02      -1.268008523156e-04      -2.927591151771e-05       1.301933921216e-02      -1.115347000028e-04       1.033239140075e-02 
   17       6.485410689481e-01      -3.415923720507e-06      -4.644587138561e-10      -9.948159226152e-09       3.098645026952e-09      -3.548466443642e-08      -2.558624098785e-07       3.858908478343e-08       1.258179200613e-07       4.175417130776e-07       2.459753141087e-01       4.290824269121e-05      -8.552928660740e-08       1.633295536903e-09      -1.140925243306e-08       7.255017207328e-08       2.164438642006e-08       1.136812233630e-07      -2.036325893943e-07       1.232400508054e-01       1.222128234578e-05      -1.101931614247e-06      -4.062706506331e-08       6.263926064947e-09      -4.895283155588e-08      -4.206504516790e-08      -1.611451713508e-08       7.391600920611e-02      -2.751519752655e-05      -4.052793371873e-06      -1.449332798857e-07      -9.659737267417e-08       3.031178525314e-09       4.753722039235e-08       4.871984443743e-02      -7.215978630901e-05      -8.953178821455e-06      -5.190669479407e-07      -1.369916982547e-07      -6.303768407413e-08       3.407308413315e-02      -1.032254961976e-04      -1.502624889844e-05      -1.228332927839e-06      -1.802485891299e-07       2.488671953098e-02      -1.164630327716e-04      -2.151332974042e-05      -2.207607211385e-06       1.880494182462e-02      -1.142456498886e-04      -2.753278036497e-05       1.460506723740e-02      -1.007588550211e-04       1.160292851892e-02 
   18       6.950949455502e-01       1.028079109577e-05      -1.132354436903e-08       6.516431633960e-08      -3.857911029803e-09      -1.189899640937e-07       1.472050830391e-07      -4.001120868948e-07      -2.824035673654e-07      -1.488821335086e-07       2.678016460284e-01       4.779700200045e-05      -7.050009077092e-08       3.161272650662e-08       9.178078201090e-08      -1.548095804136e-08      -8.414860099278e-08       5.577767482442e-08      -4.629896306725e-08       1.350665474098e-01       2.173406655670e-05      -7.868760052365e-07       1.448457095968e-08       7.609875826492e-08       5.566630118513e-08       1.088155999319e-07       4.737045338845e-09       8.119984526981e-02      -1.047297709716e-05      -3.144999020123e-06      -1.363177481647e-07      -6.572053078440e-08      -1.260433272081e-09      -1.012982101839e-07       5.373254597879e-02      -5.154826205167e-05      -7.517337853281e-06      -3.684837910920e-07      -6.391570457997e-08      -4.582058627979e-08       3.771398197553e-02      -8.347655115675e-05      -1.321817629422e-05      -9.327846596488e-07      -1.037721248111e-07       2.762226012202e-02      -9.921918011792e-05      -1.949488941728e-05      -1.863673488131e-06       2.091457831190e-02      -9.958139718586e-05      -2.561839491838e-05       1.626788170772e-02      -8.779889007277e-05       1.293817838928e-02 
