# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[2]-dens[2]    
    2       7.020828673282e-03      -2.257738079597e-05       1.635737807431e-03 
    3       1.403681197607e-02      -2.491419474208e-05       3.296725773885e-03 
    4       2.314332861156e-02      -2.248517502219e-05       5.523279268199e-03 
    5       3.404102771671e-02      -1.806823174555e-05       8.304894744997e-03 
    6       4.642083602904e-02      -1.347209050552e-05       1.162140134471e-02 
    7       6.002055572007e-02      -9.534897422814e-06       1.544475759372e-02 
    8       7.465738437353e-02      -6.503069826017e-06       1.974110486344e-02 
    9       9.023370798291e-02      -4.312461496158e-06       2.447312780483e-02 
   10       1.067207949837e-01      -2.801902540781e-06       2.960220923949e-02 
   11       1.241292076384e-01      -1.795051217098e-06       3.509058700738e-02 
   12       1.424747769816e-01      -1.126835248859e-06       4.090307601046e-02 
   13       1.617474246428e-01      -7.120517818338e-07       4.700847159932e-02 
   14       1.818871489769e-01      -4.406423210639e-07       5.338054850307e-02 
   15       2.027708502886e-01      -2.652099406859e-07       5.999845650370e-02 
   16       2.242119642113e-01      -1.690078592895e-07       6.684696156176e-02 
   17       2.459745491861e-01      -8.547211184727e-08       7.391584512179e-02 
   18       2.678007926039e-01      -7.027542592165e-08       8.119966223368e-02 
   19       2.894479337707e-01      -3.939098994286e-08       8.869636705334e-02 
   20       3.107271582310e-01      -1.946171763974e-09       9.640674643376e-02 
   21       3.315357636314e-01      -3.411245950701e-08       1.043330226144e-01 
   22       3.518747149258e-01       2.468660782764e-08       1.124777065554e-01 
   23       3.718470273419e-01       9.201642927117e-09       1.208428885094e-01 
   24       3.916383184376e-01      -1.756465734801e-08       1.294286661075e-01 
   25       4.114832345309e-01       5.047335373029e-08       1.382329973997e-01 
   26       4.316261984174e-01      -1.257853281386e-08       1.472504241487e-01 
   27       4.522826915224e-01      -1.384377303112e-08       1.564718730650e-01 
   28       4.736072442159e-01       4.027531297614e-08       1.658844438791e-01 
   29       4.956707268497e-01      -2.940695756380e-08       1.754709136698e-01 
   30       5.184483125818e-01      -4.061200016367e-08       1.852103035104e-01 
   31       5.418191481631e-01       8.850372003821e-09       1.950780290591e-01 
   32       5.655767501730e-01      -2.468005923342e-08       2.050463581876e-01 
   33       5.894515084764e-01      -5.186598316401e-08       2.150854333778e-01 
   34       6.131426145338e-01      -2.545237440157e-08       2.251642870164e-01 
   35       6.363572425771e-01       4.600955865388e-08       2.352514199209e-01 
   36       6.588512079692e-01       4.770031248016e-08       2.453169143375e-01 
   37       6.804639641082e-01      -3.885029994708e-08       2.553329983280e-01 
   38       7.011425858953e-01       7.334472549699e-08       2.652751760882e-01 
   39       7.209486710460e-01       1.548543862983e-07       2.751242384545e-01 
   40       7.400482684251e-01       6.118641473279e-09       2.848660099485e-01 
   41       7.586866551659e-01      -1.174128067535e-07       2.944926002960e-01 
   42       7.771524689152e-01      -1.215036271402e-07       3.040030836086e-01 
   43       7.957391063927e-01      -7.615867007959e-08       3.134027575822e-01 
   44       8.147073746813e-01      -2.995764344943e-08       3.227034209584e-01 
   45       8.342554749155e-01       8.500891129717e-08       3.319227392670e-01 
   46       8.544984548839e-01       7.530152121453e-08       3.410832571948e-01 
   47       8.754573620455e-01      -1.851460705590e-08       3.502113698272e-01 
   48       8.970597433925e-01       2.460668840859e-08       3.593358787513e-01 
   49       9.191493383867e-01       5.934176082379e-08       3.684874362518e-01 
   50       9.415046162990e-01      -1.845031076033e-08       3.776962762628e-01 
   51       9.638653073774e-01      -1.199259605050e-07       3.869911068487e-01 
   52       9.859628696524e-01      -8.831006812341e-08       3.963988079266e-01 
