# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
    2       1.494824299843e-10       7.287184368192e-15       4.813906577744e-13       0.000000000000e+00       8.802766899790e-09       4.851511657203e-10      -2.509270009069e-12       1.101609835469e-04      -9.375795140755e-08      -2.978026418860e-09      -6.872071558078e-10      -3.443872777720e-10       2.652137470326e-05      -1.318785091145e-08      -2.158248459036e-09      -6.297786471038e-10       6.405437672815e-06      -1.373775039260e-08      -2.866369552832e-09       2.773831304630e-06      -1.372595830024e-08       1.485181402335e-06       7.296046689361e-08       1.855775953947e-08       4.637921130424e-09       2.090712240826e-09       1.213198340363e-09 
    3       1.409115412527e-10       1.233902621144e-14       6.057276954464e-13       0.000000000000e+00       5.406412046894e-09       3.457399661438e-10      -2.206941997891e-12       2.221884931748e-04      -1.200862649438e-07      -1.496107755150e-09      -5.592893563063e-10      -2.447416052231e-10       5.322370300201e-05      -1.885939907385e-08      -2.582340175303e-09      -7.252583142892e-10       1.282876265514e-05      -2.418157065808e-08      -4.408058064196e-09       5.553072209073e-06      -2.582447973292e-08       2.972576254771e-06       9.659608712561e-08       2.489947917338e-08       6.206925091746e-09       2.781632463748e-09       1.598176737226e-09 
    4       1.324540072412e-10       1.440619671211e-14       6.265767602244e-13       0.000000000000e+00       3.757468616245e-09       2.631419549466e-10      -1.760438677957e-12       3.735281492450e-04      -1.305177008980e-07      -1.975371708841e-09       1.003025434901e-10      -3.131682049379e-10       8.904153236928e-05      -2.201703965829e-08      -2.822730165422e-09      -3.748221369561e-10       2.141594567949e-05      -3.527923817777e-08      -6.009639613083e-09       9.264105641077e-06      -4.023057880688e-08       4.958140222293e-06       1.179315437052e-07       3.092604283210e-08       7.747455499142e-09       3.471009657033e-09       1.980166868693e-09 
    5       1.257511282632e-10       1.332204766564e-14       5.867641708342e-13       0.000000000000e+00       2.804840950484e-09       2.087814354669e-10      -1.306633730185e-12       5.650007597438e-04      -1.228163247302e-07      -2.023330375102e-09      -9.095489401547e-10      -5.704124893332e-10       1.341003511195e-04      -2.334782675017e-08      -2.034198735872e-09      -6.262926842622e-10       3.218070298484e-05      -4.575060715558e-08      -6.588715624787e-09       1.391339636300e-05      -5.607860876130e-08       7.444478659787e-06       1.372251932036e-07       3.669249104012e-08       9.259573731140e-09       4.143683556222e-09       2.360790151736e-09 
    6       1.208125513973e-10       1.027922737391e-14       5.163399349043e-13       0.000000000000e+00       2.191380476228e-09       1.704765509196e-10      -8.928119206757e-13       7.972441596723e-04      -9.948698562722e-08       1.434567169491e-09       5.290835484853e-10      -8.409493218897e-10       1.885121811653e-04      -2.225909593859e-08      -2.766378693440e-09       9.355720152941e-11       4.513897146624e-05      -5.495511759020e-08      -7.640013783165e-09       1.950205279310e-05      -7.252411323129e-08       1.043218068691e-05       1.546011893647e-07       4.216932396543e-08       1.072027467892e-08       4.792255020461e-09       2.738522996229e-09 
    7       1.173405138848e-10       6.812756861113e-15       4.356807213052e-13       0.000000000000e+00       1.768420628385e-09       1.421974740691e-10      -5.430828284437e-13       1.070668551730e-03      -7.475356581032e-08      -2.479381234487e-09      -2.506081416273e-09       2.548480533979e-09       2.523958180490e-04      -2.241806341104e-08      -7.245348755737e-10      -9.863005119443e-10       6.030444335940e-05      -6.309066436648e-08      -7.068869767836e-09       2.603902118275e-05      -8.930716244006e-08       1.392527316514e-05       1.702402865331e-07       4.733643214787e-08       1.212897891125e-08       5.430116362571e-09       3.110474328791e-09 
    8       1.150180371427e-10       4.025925508719e-15       3.570205232918e-13       0.000000000000e+00       1.461967654437e-09       1.205783319361e-10      -2.682043805673e-13       1.385401145602e-03      -5.713584772903e-08      -3.592345865040e-09      -3.510750055212e-10      -7.336169285489e-10       3.258443945177e-04      -1.880438396097e-08      -2.202049559388e-09      -5.161957416415e-11       7.769328894009e-05      -6.808093809439e-08      -7.688597081848e-09       3.352388099761e-05      -1.049860538907e-07       1.792310989096e-05       1.842864955706e-07       5.219121912512e-08       1.349161112599e-08       6.060620871593e-09       3.468847426300e-09 
    9       1.135995833619e-10       2.327640261558e-15       2.876092473986e-13       0.000000000000e+00       1.231302289706e-09       1.036033224707e-10      -6.979836914985e-14       1.741296152013e-03      -4.254073885280e-08      -1.629265286680e-08       6.024975543150e-09       1.288005287396e-09       4.089386979102e-04      -2.021397238745e-08       4.930398149975e-10      -1.161211396959e-09       9.731946159291e-05      -7.380074549338e-08      -6.812692514908e-09       4.196679038020e-05      -1.210422446114e-07       2.243120889676e-05       1.968520414315e-07       5.674443370565e-08       1.480568202336e-08       6.673971890099e-09       3.816248618565e-09 
   10       1.128710295420e-10       1.566529198906e-15       2.315153592451e-13       0.000000000000e+00       1.052490593917e-09       9.003101466969e-11       5.746328057145e-14       2.137947204476e-03      -3.344934232887e-08      -5.424406724832e-10       1.252297908179e-09      -2.169050411852e-09       5.017394692364e-04      -1.822397145818e-08       1.246824466943e-09      -1.023771751905e-10       1.191960001100e-04      -7.417992145363e-08      -6.328779368139e-09       5.136709891625e-05      -1.338617439659e-07       2.744780500411e-05       2.080354474577e-07       6.102143889583e-08       1.607166040269e-08       7.260195805155e-09       4.159199480375e-09 
   11       1.126927751702e-10       1.341934641913e-15       1.904071798571e-13       0.000000000000e+00       8.853346021272e-10       7.932536662823e-11       1.231683161537e-13       2.574694680653e-03      -2.287404869603e-08      -2.000843703911e-08      -3.825560150045e-09       2.394299949823e-09       6.043059434002e-04      -1.843564919749e-08      -1.091603125733e-09      -2.486769531980e-09       1.433367594117e-04      -7.708819741637e-08      -6.504686100847e-09       6.173276632776e-05      -1.482495448511e-07       3.297850953277e-05       2.138224132170e-07       6.460710439305e-08       1.718320534069e-08       7.798961401474e-09       4.473308949044e-09 
