# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
    2       1.494829225639e-10       7.287444829833e-15       4.813906525496e-13       2.604616105108e-19       8.802766899790e-09       4.851511657203e-10      -2.509270009069e-12       1.101609835469e-04      -9.375795140755e-08      -2.978026418860e-09      -6.872071558078e-10      -3.443872777720e-10       2.652137470326e-05      -1.318785091145e-08      -2.158248459036e-09      -6.297786471038e-10       6.405437672815e-06      -1.373775039260e-08      -2.866369552832e-09       2.773831304630e-06      -1.372595830024e-08       1.485181402335e-06       7.296046689361e-08       1.855775953947e-08       4.637921130424e-09       2.090712240826e-09       1.213198340363e-09 
    3       1.409125242312e-10       1.233954736753e-14       6.057276722070e-13       5.211557807103e-19       5.406412046894e-09       3.457399661438e-10      -2.206941997891e-12       2.221884931748e-04      -1.200862649438e-07      -1.496107755150e-09      -5.592893563063e-10      -2.447416052231e-10       5.322370300201e-05      -1.885939907385e-08      -2.582340175303e-09      -7.252583142892e-10       1.282876265514e-05      -2.418157065808e-08      -4.408058064196e-09       5.553072209073e-06      -2.582447973292e-08       2.972576254771e-06       9.659608712561e-08       2.489947917338e-08       6.206925091746e-09       2.781632463748e-09       1.598176737226e-09 
    4       1.324556407469e-10       1.440706581518e-14       6.265766936202e-13       8.691015701926e-19       3.757468616245e-09       2.631419549466e-10      -1.760438677957e-12       3.735281492450e-04      -1.305177008980e-07      -1.975371708841e-09       1.003025434901e-10      -3.131682049379e-10       8.904153236928e-05      -2.201703965829e-08      -2.822730165422e-09      -3.748221369561e-10       2.141594567949e-05      -3.527923817777e-08      -6.009639613083e-09       9.264105641077e-06      -4.023057880688e-08       4.958140222293e-06       1.179315437052e-07       3.092604283210e-08       7.747455499142e-09       3.471009657033e-09       1.980166868693e-09 
    5       1.257535696662e-10       1.332335225731e-14       5.867640195877e-13       1.304586561150e-18       2.804840950484e-09       2.087814354669e-10      -1.306633730185e-12       5.650007597438e-04      -1.228163247302e-07      -2.023330375102e-09      -9.095489401547e-10      -5.704124893332e-10       1.341003511195e-04      -2.334782675017e-08      -2.034198735872e-09      -6.262926842622e-10       3.218070298484e-05      -4.575060715558e-08      -6.588715624787e-09       1.391339636300e-05      -5.607860876130e-08       7.444478659787e-06       1.372251932036e-07       3.669249104012e-08       9.259573731140e-09       4.143683556222e-09       2.360790151736e-09 
    6       1.208159547440e-10       1.028105533938e-14       5.163396386349e-13       1.827951619411e-18       2.191380476228e-09       1.704765509196e-10      -8.928119206757e-13       7.972441596723e-04      -9.948698562722e-08       1.434567169491e-09       5.290835484853e-10      -8.409493218897e-10       1.885121811653e-04      -2.225909593859e-08      -2.766378693440e-09       9.355720152941e-11       4.513897146624e-05      -5.495511759020e-08      -7.640013783165e-09       1.950205279310e-05      -7.252411323129e-08       1.043218068691e-05       1.546011893647e-07       4.216932396543e-08       1.072027467892e-08       4.792255020461e-09       2.738522996229e-09 
    7       1.173450294093e-10       6.815196472678e-15       4.356801978355e-13       2.439579584673e-18       1.768420628385e-09       1.421974740691e-10      -5.430828284437e-13       1.070668551730e-03      -7.475356581032e-08      -2.479381234487e-09      -2.506081416273e-09       2.548480533979e-09       2.523958180490e-04      -2.241806341104e-08      -7.245348755737e-10      -9.863005119443e-10       6.030444335940e-05      -6.309066436648e-08      -7.068869767836e-09       2.603902118275e-05      -8.930716244006e-08       1.392527316514e-05       1.702402865331e-07       4.733643214787e-08       1.212897891125e-08       5.430116362571e-09       3.110474328791e-09 
    8       1.150238108646e-10       4.029065456984e-15       3.570196664855e-13       3.139882738548e-18       1.461967654437e-09       1.205783319361e-10      -2.682043805673e-13       1.385401145602e-03      -5.713584772903e-08      -3.592345865040e-09      -3.510750055212e-10      -7.336169285489e-10       3.258443945177e-04      -1.880438396097e-08      -2.202049559388e-09      -5.161957416415e-11       7.769328894009e-05      -6.808093809439e-08      -7.688597081848e-09       3.352388099761e-05      -1.049860538907e-07       1.792310989096e-05       1.842864955706e-07       5.219121912512e-08       1.349161112599e-08       6.060620871593e-09       3.468847426300e-09 
    9       1.136067567762e-10       2.331569673347e-15       2.876079255590e-13       3.929289546071e-18       1.231302289706e-09       1.036033224707e-10      -6.979836914985e-14       1.741296152013e-03      -4.254073885280e-08      -1.629265286680e-08       6.024975543150e-09       1.288005287396e-09       4.089386979102e-04      -2.021397238745e-08       4.930398149975e-10      -1.161211396959e-09       9.731946159291e-05      -7.380074549338e-08      -6.812692514908e-09       4.196679038020e-05      -1.210422446114e-07       2.243120889676e-05       1.968520414315e-07       5.674443370565e-08       1.480568202336e-08       6.673971890099e-09       3.816248618565e-09 
   10       1.128797394057e-10       1.571337641392e-15       2.315134140779e-13       4.808231193627e-18       1.052490593917e-09       9.003101466969e-11       5.746328057145e-14       2.137947204476e-03      -3.344934232887e-08      -5.424406724832e-10       1.252297908179e-09      -2.169050411852e-09       5.017394692364e-04      -1.822397145818e-08       1.246824466943e-09      -1.023771751905e-10       1.191960001100e-04      -7.417992145363e-08      -6.328779368139e-09       5.136709891625e-05      -1.338617439659e-07       2.744780500411e-05       2.080354474577e-07       6.102143889583e-08       1.607166040269e-08       7.260195805155e-09       4.159199480375e-09 
   11       1.127031533857e-10       1.347712112908e-15       1.904044259798e-13       5.777128452210e-18       8.853346021272e-10       7.932536662823e-11       1.231683161537e-13       2.574694680653e-03      -2.287404869603e-08      -2.000843703911e-08      -3.825560150045e-09       2.394299949823e-09       6.043059434002e-04      -1.843564919749e-08      -1.091603125733e-09      -2.486769531980e-09       1.433367594117e-04      -7.708819741637e-08      -6.504686100847e-09       6.173276632776e-05      -1.482495448511e-07       3.297850953277e-05       2.138224132170e-07       6.460710439305e-08       1.718320534069e-08       7.798961401474e-09       4.473308949044e-09 
   12       1.129663779901e-10       1.291484428756e-15       1.640055799599e-13       6.836379379462e-18       7.735458408943e-10       7.011434889076e-11       1.419374645135e-13       3.050659248649e-03      -1.775284922147e-08      -1.211228242416e-09      -7.167135388693e-10      -2.288275361218e-09       7.166730357623e-04      -1.056287607788e-08       2.881901194899e-09       3.736799712976e-09       1.697535399961e-04      -7.508490407809e-08      -5.077995421779e-09       7.306839383881e-05      -1.575072243705e-07       3.902331093471e-05       2.219954712263e-07       6.836150933038e-08       1.836895658699e-08       8.355320234019e-09       4.803351311607e-09 
   13       1.135527863751e-10       1.205280258668e-15       1.505494667879e-13       7.986348337572e-18       6.817910007816e-10       6.259019715016e-11       1.275290612663e-13       3.564743065775e-03      -9.216047946852e-09      -1.171714054196e-08       1.300226398234e-09       1.992380754434e-09       8.388525039095e-04      -1.367247684804e-08      -3.413996450050e-10      -1.066600281701e-09       1.984545549208e-04      -7.406604345421e-08      -5.594627803773e-09       8.537152866291e-05      -1.686661018202e-07       4.558317445106e-05       2.290162166517e-07       7.188025493128e-08       1.950762212773e-08       8.900995908410e-09       5.121404429684e-09 
   14       1.143628516166e-10       1.061129619945e-15       1.474250167263e-13       9.227356748386e-18       6.054570232211e-10       5.606903931242e-11       9.266190571473e-14       4.115642060159e-03      -1.098987824872e-08      -6.935516251015e-09       7.608468495531e-10       1.044159331256e-10       9.708448489966e-04      -1.189946411363e-08      -8.201903131820e-10       2.022577593460e-09       2.294534625466e-04      -7.258527286969e-08      -4.742352342709e-09       9.865940871130e-05      -1.758983212007e-07       5.266482483970e-05       2.349701375007e-07       7.517400781194e-08       2.058900794830e-08       9.430302821645e-09       5.428889177225e-09 
   15       1.154035945044e-10       9.187626181552e-16       1.516941460508e-13       1.055967593422e-17       5.412107621987e-10       5.062294144298e-11       4.955441290166e-14       4.701882816226e-03      -2.031084379820e-09       2.755195918835e-08       3.548190094474e-10      -8.428349339988e-10       1.112617600069e-03      -1.114194023450e-08       5.425464067132e-09      -2.038199537444e-09       2.627542995999e-04      -6.624984742137e-08      -5.090747206732e-09       1.129160347048e-04      -1.816394099898e-07       6.026125480156e-05       2.399356767803e-07       7.825181730908e-08       2.162143086994e-08       9.939100633975e-09       5.728779471218e-09 
   16       1.166319936471e-10       8.393460015937e-16       1.603388138821e-13       1.198352230589e-17       4.865916577195e-10       4.600675516774e-11       7.284514008556e-15       5.321866294482e-03      -1.899523869887e-09      -3.514153193857e-09      -4.656137229512e-10       2.479197012849e-09       1.264142779601e-03      -8.191167159028e-09      -8.933315888585e-10       6.774660976701e-10       2.983653886364e-04      -6.648070834075e-08      -2.758467326909e-09       1.281668590011e-04      -1.879650620832e-07       6.838535170991e-05       2.439844193727e-07       8.112176732259e-08       2.262189030500e-08       1.042944428103e-08       6.022243716311e-09 
   17       1.179710554762e-10       8.403134210454e-16       1.707996194456e-13       1.349905506186e-17       4.397412926104e-10       4.202070119685e-11      -2.781823149818e-14       5.973840021644e-03      -4.232454843242e-10       4.809555588124e-08      -4.779348444169e-11      -5.172773653086e-09       1.425345586253e-03      -1.639288717474e-09      -6.901893017345e-09       4.409874781298e-10       3.362875847236e-04      -5.884131701798e-08      -6.394897485522e-09       1.443950741469e-04      -1.892829881668e-07       7.702751004425e-05       2.471831055292e-07       8.379148751240e-08       2.359250803038e-08       1.090566003408e-08       6.308921082315e-09 
   18       1.194208700185e-10       8.943891260305e-16       1.812851623936e-13       1.510637522865e-17       3.990794509576e-10       3.848082639571e-11      -5.221014285132e-14       6.655953809852e-03       8.625941637644e-10       4.219210186117e-08      -4.200269710607e-10      -9.157672059567e-09       1.596159309388e-03       1.702293977511e-09      -3.404286338604e-09       6.867826023909e-10       3.765309147314e-04      -5.527194441667e-08      -6.479679182454e-09       1.616145798610e-04      -1.907484577401e-07       8.619545886387e-05       2.495860975210e-07       8.626728007322e-08       2.451671328161e-08       1.136915319226e-08       6.588017059869e-09 
   19       1.209890493690e-10       9.689555217269e-16       1.908231586749e-13       1.680553460281e-17       3.639622668502e-10       3.535687261933e-11      -6.499576387303e-14       7.366295154509e-03      -6.467032572842e-10      -2.933776494920e-08      -1.206819017440e-09      -7.307701417428e-09       1.776493593837e-03       2.362874316183e-09       3.286301908255e-09       2.544901165317e-09       4.190978998062e-04      -5.573718757706e-08      -3.294376367992e-09       1.798284863553e-04      -1.926264716149e-07       9.589135498250e-05       2.512803299749e-07       8.856402665017e-08       2.539572982027e-08       1.181885677124e-08       6.858996724162e-09 
   20       1.226218972680e-10       1.030551634027e-15       1.986360599177e-13       1.859652748004e-17       3.330335917961e-10       3.259461897899e-11      -6.698262610990e-14       8.102891742435e-03      -4.741298454531e-09      -8.497103881850e-08      -8.769566256108e-10      -4.900833971459e-09       1.966234777292e-03       3.949728536091e-09       3.402552169390e-09       3.968119018570e-09       4.639861186045e-04      -5.271244203468e-08      -2.457642311131e-09       1.990311976108e-04      -1.924227785252e-07       1.061130166178e-04       2.522943803093e-07       9.068387115388e-08       2.623579594802e-08       1.225155816413e-08       7.120648632333e-09 
   21       1.243311766148e-10       1.082178120421e-15       2.047927557036e-13       2.047931594963e-17       3.058073481092e-10       3.015049025785e-11      -6.030639360849e-14       8.863750159026e-03      -7.731303713783e-09      -7.178107481478e-08       1.589970043042e-11      -1.882995221620e-09       2.165258798595e-03       6.501100126691e-09      -3.731391829275e-10       4.665098897287e-09       5.111948332580e-04      -4.633075253045e-08      -3.056176869556e-09       2.192234367054e-04      -1.907681678482e-07       1.168624364284e-04       2.526965911544e-07       9.263803776345e-08       2.704676874264e-08       1.266821321657e-08       7.374180211049e-09 
   22       1.261156936141e-10       1.142006101931e-15       2.097480892810e-13       2.245382001083e-17       2.816325674999e-10       2.794455191526e-11      -4.831982058560e-14       9.646867618800e-03      -5.508868144879e-09       3.129421448947e-08       2.910580677178e-10       3.147895914592e-09       2.373427372157e-03       8.791602429496e-09      -1.419881622911e-09       4.874234722642e-09       5.607228070539e-04      -3.974915794563e-08      -2.148694725539e-09       2.404082558531e-04      -1.890612190821e-07       1.281425851106e-04       2.525281263531e-07       9.443111349082e-08       2.783516659876e-08       1.307041537510e-08       7.621028978012e-09 
   23       1.279648291915e-10       1.229269071839e-15       2.139762370283e-13       2.451994763530e-17       2.601769810069e-10       2.594659744803e-11      -3.397453615547e-14       1.045026828369e-02      -1.514363004877e-09       1.102810710069e-07       2.040891115579e-10       8.342154845946e-09       2.590587734355e-03       1.018017215238e-08      -3.397164135101e-10       4.273118638882e-09       6.125667879455e-04      -3.597626764532e-08      -1.930252696123e-10       2.625890589963e-04      -1.861269194984e-07       1.399528605430e-04       2.518477665513e-07       9.607252499964e-08       2.859140336966e-08       1.346004831320e-08       7.861468353792e-09 
   24       1.298469780647e-10       1.362343674693e-15       2.180246706330e-13       2.667758483706e-17       2.409445030090e-10       2.412356876410e-11      -2.037392177206e-14       1.127200883146e-02      -1.723000768550e-09       3.476726220191e-08       3.872812347423e-10       1.063991341793e-08       2.816573179412e-03       1.025923223401e-08       6.243621780903e-11       2.368529947231e-09       6.667216014966e-04      -3.691206718177e-08       1.215483050141e-09       2.857689176232e-04      -1.803392760242e-07       1.522915627495e-04       2.506900805199e-07       9.756601837545e-08       2.930114691797e-08       1.383817328470e-08       8.094957549326e-09 
   25       1.317789375143e-10       1.541651205190e-15       2.223570742331e-13       2.892663071757e-17       2.237087431499e-10       2.248401827866e-11      -9.358219041436e-15       1.211018318569e-02      -7.786126430162e-09      -7.811374503849e-08       4.857004118179e-10       8.434341191172e-09       3.051207805262e-03       9.082829146165e-09      -4.485265923834e-11      -1.022634934021e-09       7.231797688226e-04      -3.756406155917e-08       1.539094778287e-09       3.099474982468e-04      -1.734482965756e-07       1.651595430812e-04       2.491096058749e-07       9.892007745828e-08       2.997452060929e-08       1.420464435143e-08       8.321583606589e-09 
