# Matter power spectrum P(k) at redshift z=1
# for k=1.045e-05 to 9.93813 h/Mpc,
# number of wavenumbers equal to 2318
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045004358465e-05       1.935676975314e+01 
       2.333095830364e-05       4.191343232017e+01 
       3.625717138197e-05       6.404900615728e+01 
       4.926346170446e-05       8.601224415932e+01 
       6.238518340034e-05       1.079431645681e+02 
       7.565858108432e-05       1.299457738366e+02 
       8.912111517766e-05       1.521084193001e+02 
       1.028118016360e-04       1.745120885224e+02 
       1.167715704439e-04       1.972346545103e+02 
       1.310436472695e-04       2.203534236554e+02 
       1.456739626796e-04       2.439468940365e+02 
       1.607115932535e-04       2.680961119908e+02 
       1.762092387588e-04       2.928858220490e+02 
       1.922237391794e-04       3.184055090798e+02 
       2.088166347275e-04       3.447503934335e+02 
       2.260547708937e-04       3.720224094833e+02 
       2.440109489228e-04       4.003311845181e+02 
       2.627646196243e-04       4.297950236016e+02 
       2.824026148746e-04       4.605418936152e+02 
       3.030199061975e-04       4.927103899996e+02 
       3.247203730558e-04       5.264506563730e+02 
       3.476175545344e-04       5.619252106594e+02 
       3.718353465748e-04       5.993096145994e+02 
       3.975085925723e-04       6.387928993619e+02 
       4.247834979996e-04       6.805776359931e+02 
       4.538177802962e-04       7.248795108207e+02 
       4.847804449377e-04       7.719262448132e+02 
       5.178510599038e-04       8.219556616867e+02 
       5.532183878397e-04       8.752127283397e+02 
       5.910782339040e-04       9.319453621470e+02 
       6.316303850249e-04       9.923988990016e+02 
       6.750745609842e-04       1.056809151033e+03 
       7.216053758473e-04       1.125394159306e+03 
       7.714064215132e-04       1.198344917656e+03 
       8.246437268604e-04       1.275815570191e+03 
       8.814589978991e-04       1.357913759811e+03 
       9.419631766204e-04       1.444692025522e+03 
       1.006230932013e-03       1.536141159802e+03 
       1.074296682416e-03       1.632186325951e+03 
       1.146152626855e-03       1.732686545549e+03 
       1.221749044348e-03       1.837437719400e+03 
       1.300996843579e-03       1.946179004864e+03 
       1.383772069420e-03       2.058596532693e+03 
       1.469921856686e-03       2.174339709820e+03 
       1.559271205766e-03       2.293047777971e+03 
       1.651629950110e-03       2.414337222711e+03 
       1.746799373907e-03       2.537822075081e+03 
       1.844578083652e-03       2.663123176463e+03 
       1.944766900247e-03       2.789875543909e+03 
       2.047172686846e-03       2.917733688612e+03 
       2.151611143041e-03       3.046375251438e+03 
       2.257908672078e-03       3.175502920675e+03 
       2.365903467808e-03       3.304845542297e+03 
       2.475445979787e-03       3.434157143030e+03 
       2.586398907712e-03       3.563217173582e+03 
       2.698636858273e-03       3.691828552273e+03 
       2.812045774843e-03       3.819817295379e+03 
       2.926522227346e-03       3.947028323133e+03 
       3.041972628545e-03       4.073327108447e+03 
       3.158312425015e-03       4.198595111188e+03 
       3.275465296538e-03       4.322729677693e+03 
       3.393362386273e-03       4.445641119167e+03 
       3.511941575581e-03       4.567252809004e+03 
       3.631146811106e-03       4.687497956714e+03 
       3.750927487358e-03       4.806320046810e+03 
       3.871237885001e-03       4.923670584468e+03 
       3.992036663108e-03       5.039508897169e+03 
       4.113286402413e-03       5.153801464750e+03 
       4.234953195938e-03       5.266518836761e+03 
       4.357006283050e-03       5.377638621531e+03 
       4.479417722957e-03       5.487142104758e+03 
       4.602162103782e-03       5.595015404562e+03 
       4.725216283514e-03       5.701247308519e+03 
       4.848559159457e-03       5.805830595668e+03 
       4.972171463028e-03       5.908760234972e+03 
       5.096035577095e-03       6.010034817285e+03 
       5.220135373297e-03       6.100783528558e+03 
       5.344456067073e-03       6.198399639042e+03 
       5.468984088379e-03       6.294362420445e+03 
       5.593706966285e-03       6.388680191709e+03 
       5.718613225869e-03       6.481357011996e+03 
       5.843692296004e-03       6.572403800829e+03 
       5.968934426788e-03       6.661829095653e+03 
       6.094330615523e-03       6.749642546125e+03 
       6.219872540296e-03       6.835938481773e+03 
       6.345552500285e-03       6.920629056094e+03 
       6.471363362067e-03       7.003665774460e+03 
       6.597298511245e-03       7.085075181581e+03 
       6.723351808830e-03       7.164928993546e+03 
       6.849517551848e-03       7.243264206650e+03 
       6.975790437733e-03       7.320063655222e+03 
       7.102165532088e-03       7.395385557232e+03 
       7.228638239473e-03       7.469286863762e+03 
       7.355204276895e-03       7.541745863806e+03 
       7.481859649730e-03       7.612547791601e+03 
       7.608600629819e-03       7.681954491972e+03 
       7.735423735528e-03       7.750260271864e+03 
       7.862325713566e-03       7.816843411756e+03 
       7.989303522403e-03       7.882024529437e+03 
       8.116354317107e-03       7.945811173918e+03 
       8.243475435493e-03       8.008206301410e+03 
       8.370664385430e-03       8.069243448752e+03 
       8.497918833217e-03       8.128962540931e+03 
       8.625236592919e-03       8.187317255925e+03 
       8.752615616576e-03       8.244350112774e+03 
       8.880053985201e-03       8.300073662687e+03 
       9.007549900508e-03       8.354512547722e+03 
       9.135101677287e-03       8.407643426056e+03 
       9.262707736385e-03       8.459545504008e+03 
       9.390366598231e-03       8.510201641300e+03 
       9.518076876860e-03       8.559580970928e+03 
       9.645837274391e-03       8.607804687801e+03 
       9.773646575931e-03       8.654498244901e+03 
       9.901503644852e-03       8.700570482445e+03 
       1.002940741843e-02       8.745144169263e+03 
       1.015735690378e-02       8.788586489057e+03 
       1.028535117414e-02       8.830899049849e+03 
       1.041338936539e-02       8.872006673195e+03 
       1.054147067279e-02       8.912059146809e+03 
       1.066959434803e-02       8.950966128182e+03 
       1.079775969644e-02       8.988772089830e+03 
       1.092596607441e-02       9.025488205474e+03 
       1.105421288699e-02       9.061096115477e+03 
       1.118249958563e-02       9.095382092332e+03 
       1.131082566619e-02       9.128910307295e+03 
       1.143919066690e-02       9.161422644190e+03 
       1.156759416669e-02       9.193196681518e+03 
       1.169603578339e-02       9.223613544830e+03 
       1.182451517231e-02       9.253103379533e+03 
       1.195303202469e-02       9.281559050954e+03 
       1.208158606644e-02       9.309041142443e+03 
       1.221017705681e-02       9.335556702321e+03 
       1.233880478731e-02       9.361118080309e+03 
       1.246746908058e-02       9.385733147360e+03 
       1.259616978942e-02       9.409417271264e+03 
       1.272490679583e-02       9.432124686446e+03 
       1.285368001017e-02       9.454027507791e+03 
       1.298248937038e-02       9.474985450586e+03 
       1.311133484117e-02       9.495047558706e+03 
       1.324021641342e-02       9.514197379547e+03 
       1.336913410352e-02       9.532502727743e+03 
       1.349808795276e-02       9.550040923983e+03 
       1.362707802683e-02       9.566662082662e+03 
       1.375610441532e-02       9.582400677267e+03 
       1.388516723129e-02       9.597365002492e+03 
       1.401426661081e-02       9.611494365569e+03 
       1.414340271265e-02       9.624905001021e+03 
       1.427257571792e-02       9.637461946416e+03 
       1.440178582977e-02       9.649233796507e+03 
       1.453103327311e-02       9.660218427499e+03 
       1.466031829438e-02       9.670452918620e+03 
       1.478964116137e-02       9.679925550928e+03 
       1.491900216301e-02       9.688659704897e+03 
       1.504840160920e-02       9.696649761446e+03 
       1.517783983073e-02       9.703932382199e+03 
       1.530731717916e-02       9.710479992722e+03 
       1.543683402673e-02       9.716337955329e+03 
       1.556639076630e-02       9.721490789714e+03 
       1.569598781137e-02       9.725959977671e+03 
       1.582562559600e-02       9.729759420868e+03 
       1.595530457487e-02       9.732881431321e+03 
       1.608502522327e-02       9.735328123144e+03 
       1.621478803722e-02       9.737151470818e+03 
       1.634459353345e-02       9.738253499160e+03 
       1.647444224958e-02       9.738843501052e+03 
       1.660433474414e-02       9.738756079346e+03 
       1.673427159678e-02       9.738041986197e+03 
       1.686425340835e-02       9.736674981224e+03 
       1.699428080111e-02       9.734796881659e+03 
       1.712435441886e-02       9.732231264660e+03 
       1.725447492718e-02       9.729136355264e+03 
       1.738464301363e-02       9.725546259026e+03 
       1.751485938798e-02       9.721317407236e+03 
       1.764512478243e-02       9.716518921131e+03 
       1.777543995193e-02       9.710942040082e+03 
       1.790580567440e-02       9.705014823624e+03 
       1.803622275109e-02       9.698910763563e+03 
       1.816669200684e-02       9.691674210320e+03 
       1.829721429042e-02       9.684446317585e+03 
       1.842779047491e-02       9.676272451127e+03 
       1.855842145803e-02       9.668092612342e+03 
       1.868910816253e-02       9.659145983222e+03 
       1.881985153660e-02       9.649690909969e+03 
       1.895065255427e-02       9.639766119510e+03 
       1.908151221584e-02       9.629376943384e+03 
       1.921243154835e-02       9.618445506645e+03 
       1.934341160602e-02       9.606976230093e+03 
       1.947445347077e-02       9.595428063792e+03 
       1.960555825268e-02       9.583160731749e+03 
       1.973672709056e-02       9.570609474092e+03 
       1.986796115246e-02       9.557283374997e+03 
       1.999926163623e-02       9.543774666750e+03 
       2.013062977012e-02       9.530013786422e+03 
       2.026206681336e-02       9.515729488417e+03 
       2.039357405681e-02       9.500990174102e+03 
       2.052515282356e-02       9.485961552787e+03 
       2.065680446963e-02       9.470494501981e+03 
       2.078853038464e-02       9.454589895808e+03 
       2.092033199250e-02       9.438331494462e+03 
       2.105221075219e-02       9.421839435647e+03 
       2.118416815845e-02       9.404949255458e+03 
       2.131620574262e-02       9.387627002493e+03 
       2.144832507339e-02       9.369814159538e+03 
       2.158052775766e-02       9.351894074623e+03 
       2.171281544139e-02       9.333552161977e+03 
       2.184518981047e-02       9.314856801344e+03 
       2.197765259164e-02       9.296069746414e+03 
       2.211020555343e-02       9.276693213694e+03 
       2.224285050711e-02       9.257128633336e+03 
       2.237558930770e-02       9.237193995783e+03 
       2.250842385501e-02       9.217052320800e+03 
       2.264135609466e-02       9.196493295297e+03 
       2.277438801924e-02       9.175718387038e+03 
       2.290752166936e-02       9.154790319309e+03 
       2.304075913487e-02       9.133576977560e+03 
       2.317410255604e-02       9.111828547193e+03 
       2.330755412480e-02       9.089989668341e+03 
       2.344111608601e-02       9.067952638646e+03 
       2.357479073879e-02       9.045765476758e+03 
       2.370858043787e-02       9.023048513945e+03 
       2.384248759499e-02       9.000279485790e+03 
       2.397651468034e-02       8.977329964165e+03 
       2.411066422407e-02       8.953977972503e+03 
       2.424493881783e-02       8.930474445594e+03 
       2.437934111633e-02       8.906777174566e+03 
       2.451387383901e-02       8.882877075305e+03 
       2.464853977174e-02       8.858794185427e+03 
       2.478334176854e-02       8.834324518376e+03 
       2.491828275342e-02       8.809943569194e+03 
       2.505336572221e-02       8.785106064067e+03 
       2.518859374453e-02       8.760250591985e+03 
