# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]        
    2       1.494222331080e-10       7.283573334348e-15       4.811565070807e-13       2.612763457476e-19       8.801485717158e-09       4.850956762056e-10      -2.507873959883e-12       2.899066618959e-06       1.872199692627e-08 
    3       1.408650199150e-10       1.233287937380e-14       6.053620590133e-13       5.227868030156e-19       5.405882826863e-09       3.457431042101e-10      -2.205733231495e-12       5.971345359940e-06       2.511434511483e-08 
    4       1.324039363091e-10       1.439963307131e-14       6.261995725723e-13       8.718234291488e-19       3.757226459210e-09       2.631510868077e-10      -1.759537940884e-12       1.027279192140e-05       3.118496149872e-08 
    5       1.257180023943e-10       1.331692574088e-14       5.864373398887e-13       1.308675982228e-18       2.804728516644e-09       2.087821891654e-10      -1.306015855539e-12       1.591964523031e-05       3.698501663442e-08 
    6       1.207909136083e-10       1.027648340986e-14       5.160313767188e-13       1.833688129088e-18       2.191336251307e-09       1.704865501299e-10      -8.924255070132e-13       2.302206362372e-05       4.248160248270e-08 
    7       1.173207517179e-10       6.812421383554e-15       4.354218005027e-13       2.447246175434e-18       1.768413217017e-09       1.422134578956e-10      -5.428657394744e-13       3.169002750395e-05       4.765921430919e-08 
    8       1.150146612613e-10       4.027585108286e-15       3.568256849844e-13       3.149766568628e-18       1.461974608726e-09       1.205784824686e-10      -2.680984471155e-13       4.202080946947e-05       5.251505070723e-08 
    9       1.135940200066e-10       2.330829838198e-15       2.875120964301e-13       3.941682663007e-18       1.231313164692e-09       1.035954397339e-10      -6.975755773026e-14       5.409442030126e-05       5.706311971850e-08 
   10       1.128762265213e-10       1.570961490951e-15       2.315079528647e-13       4.823431264890e-18       1.052506461894e-09       9.004707657326e-11       5.746934052036e-14       6.798582170756e-05       6.132651218208e-08 
   11       1.127302744992e-10       1.347489162511e-15       1.903755281314e-13       5.795439480867e-18       9.107254369048e-10       7.907986971846e-11       1.238537476366e-13       8.376503186161e-05       6.532622228714e-08 
   12       1.129685796849e-10       1.291319591569e-15       1.639074691192e-13       6.858112378245e-18       7.962930254407e-10       7.004901585320e-11       1.425575544616e-13       1.014897464090e-04       6.907843201571e-08 
