# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]        
    2       1.494217363349e-10       7.283312057962e-15       4.811565123013e-13       0.000000000000e+00       8.801485717158e-09       4.850956762056e-10      -2.507873959883e-12       2.908928237372e-06       1.872199689320e-08 
    3       1.408640286234e-10       1.233235658660e-14       6.053620822385e-13       0.000000000000e+00       5.405882826863e-09       3.457431042101e-10      -2.205733231495e-12       5.991068595721e-06       2.511434512399e-08 
    4       1.324022891106e-10       1.439876124592e-14       6.261996391525e-13       0.000000000000e+00       3.757226459210e-09       2.631510868077e-10      -1.759537940884e-12       1.030566398198e-05       3.118496121197e-08 
    5       1.257155407513e-10       1.331561705821e-14       5.864374911289e-13       0.000000000000e+00       2.804728516644e-09       2.087821891654e-10      -1.306015855539e-12       1.596895331869e-05       3.698501663641e-08 
    6       1.207874824181e-10       1.027464970356e-14       5.160316730876e-13       0.000000000000e+00       2.191336251307e-09       1.704865501299e-10      -8.924255070132e-13       2.309109494696e-05       4.248160262842e-08 
    7       1.173161998167e-10       6.809974095264e-15       4.354223243756e-13       0.000000000000e+00       1.768413217017e-09       1.422134578956e-10      -5.428657394744e-13       3.178206926289e-05       4.765921446357e-08 
    8       1.150088418380e-10       4.024435255050e-15       3.568265428705e-13       0.000000000000e+00       1.461974608726e-09       1.205784824686e-10      -2.680984471155e-13       4.213914887043e-05       5.251505053482e-08 
    9       1.135867909215e-10       2.326887993007e-15       2.875134206526e-13       0.000000000000e+00       1.231313164692e-09       1.035954397339e-10      -6.975755773026e-14       5.424234453824e-05       5.706311948785e-08 
   10       1.128674505237e-10       1.566137776989e-15       2.315099026888e-13       0.000000000000e+00       1.052506461894e-09       9.004707657326e-11       5.746934052036e-14       6.816661799127e-05       6.132651200237e-08 
   11       1.127198193448e-10       1.341693261240e-15       1.903782903547e-13       0.000000000000e+00       9.107254369048e-10       7.907986971846e-11       1.238537476366e-13       8.398198737153e-05       6.532622229361e-08 
   12       1.129563181555e-10       1.284460764353e-15       1.639112581597e-13       0.000000000000e+00       7.962930254407e-10       7.004901585320e-11       1.425575544616e-13       1.017461483594e-04       6.907843241855e-08 
   13       1.135312691952e-10       1.197163915599e-15       1.504851585646e-13       0.000000000000e+00       7.025657947135e-10       6.250794147445e-11       1.276995842319e-13       1.215019348595e-04       7.259505453482e-08 
   14       1.143509368419e-10       1.051827623177e-15       1.474486496719e-13       0.000000000000e+00       6.247838715426e-10       5.616604699955e-11       9.277610516552e-14       1.432806570808e-04       7.588535141609e-08 
   15       1.154099344497e-10       9.081445188663e-16       1.517346779061e-13       0.000000000000e+00       5.594368685310e-10       5.080990558701e-11       4.950927703229e-14       1.671042512813e-04       7.895782175781e-08 
   16       1.166077881833e-10       8.273164521733e-16       1.603632485551e-13       0.000000000000e+00       5.039016609815e-10       4.623625878674e-11       7.115441129363e-15       1.929839544032e-04       8.182093071751e-08 
   17       1.179474549827e-10       8.267807220834e-16       1.708539551468e-13       0.000000000000e+00       4.561947749935e-10       4.225653250943e-11      -2.803343354633e-14       2.209210303206e-04       8.448313310876e-08 
   18       1.194202239189e-10       8.815657530553e-16       1.813901957128e-13       0.000000000000e+00       4.148419296608e-10       3.874232958995e-11      -5.239472707926e-14       2.509090113675e-04       8.695269982210e-08 
   19       1.209475152948e-10       9.521183347696e-16       1.908534464953e-13       0.000000000000e+00       3.787440880153e-10       3.562539145501e-11      -6.494572115037e-14       2.829335007190e-04       8.923801636896e-08 
   20       1.226237782191e-10       1.012431689610e-15       1.986626709161e-13       0.000000000000e+00       3.470661227796e-10       3.286612955803e-11      -6.666512692926e-14       3.169710810697e-04       9.134732128441e-08 
   21       1.243075502765e-10       1.061695855710e-15       2.048360711610e-13       0.000000000000e+00       3.191325278820e-10       3.042024907309e-11      -5.990254782934e-14       3.529906555370e-04       9.328821633094e-08 
   22       1.260996649856e-10       1.118260823760e-15       2.097727127813e-13       0.000000000000e+00       2.943966342156e-10       2.823472548820e-11      -4.772151076824e-14       3.909552765732e-04       9.506795043159e-08 
   23       1.279554605665e-10       1.204736073135e-15       2.139458621776e-13       0.000000000000e+00       2.724087996005e-10       2.626367375408e-11      -3.329861295556e-14       4.308219558606e-04       9.669336947987e-08 
   24       1.298031724553e-10       1.335522657747e-15       2.180232833142e-13       0.000000000000e+00       2.527745836457e-10       2.447332314001e-11      -1.943882278535e-14       4.725414443249e-04       9.817104984778e-08 
   25       1.317702628163e-10       1.512721983217e-15       2.224140925994e-13       0.000000000000e+00       2.351535618303e-10       2.284753721697e-11      -8.241573025346e-15       5.160585411456e-04       9.950721983951e-08 
   26       1.337130288262e-10       1.729666119173e-15       2.274128551124e-13       0.000000000000e+00       2.192660191442e-10       2.137943825337e-11      -9.371641098687e-16       5.613127434521e-04       1.007077615792e-07 
   27       1.357360570884e-10       1.978215356469e-15       2.331931501701e-13       0.000000000000e+00       2.048805763321e-10       2.005451899244e-11       2.120940261774e-15       6.082394927133e-04       1.017785668612e-07 
   28       1.378024320151e-10       2.253590352513e-15       2.394759367718e-13       0.000000000000e+00       1.918073145518e-10       1.885200341804e-11       1.332434403980e-15       6.567709441999e-04       1.027252998180e-07 
   29       1.398101636550e-10       2.555152453309e-15       2.460952079559e-13       0.000000000000e+00       1.798877323759e-10       1.775258546344e-11      -2.359181024178e-15       7.068357360558e-04       1.035532021497e-07 
   30       1.419157090640e-10       2.884575108859e-15       2.525276135165e-13       0.000000000000e+00       1.689847309823e-10       1.674389874591e-11      -7.683221850839e-15       7.583585635775e-04       1.042667589153e-07 
   31       1.441058856379e-10       3.241284147581e-15       2.583013418179e-13       0.000000000000e+00       1.590083100326e-10       1.581878497874e-11      -1.343376955757e-14       8.112623638006e-04       1.048723145423e-07 
   32       1.462922712599e-10       3.623319789702e-15       2.629495925232e-13       0.000000000000e+00       1.498311332475e-10       1.496593395538e-11      -1.837460265634e-14       8.654680349483e-04       1.053734510055e-07 
   33       1.484628080070e-10       4.027634315170e-15       2.660693163463e-13       0.000000000000e+00       1.414095610151e-10       1.417882273696e-11      -2.178524959936e-14       9.208944391475e-04       1.057752657487e-07 
   34       1.506324334373e-10       4.451458619434e-15       2.673182925822e-13       0.000000000000e+00       1.336682218889e-10       1.344868383820e-11      -2.317659672935e-14       9.774588274998e-04       1.060812549470e-07 
   35       1.528545913796e-10       4.896711543759e-15       2.666843999541e-13       0.000000000000e+00       1.264501693202e-10       1.276798829219e-11      -2.261583531309e-14       1.035077192364e-03       1.062984239260e-07 
   36       1.551726961963e-10       5.367301644664e-15       2.642627432031e-13       0.000000000000e+00       1.196425651896e-10       1.213052577844e-11      -2.041337087874e-14       1.093665094931e-03       1.064310962276e-07 
   37       1.575238162594e-10       5.868324574416e-15       2.600821851880e-13       0.000000000000e+00       1.136327922868e-10       1.154823740276e-11      -1.700069308114e-14       1.153139369831e-03       1.064762522700e-07 
