# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 1000, i.e. number of multipoles equal to 999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[1]-dens[7]        9:dens[1]-dens[8]       10:dens[1]-dens[9]       11:dens[1]-dens[10]      12:dens[1]-dens[11]      13:dens[2]-dens[2]       14:dens[2]-dens[3]       15:dens[2]-dens[4]       16:dens[2]-dens[5]       17:dens[2]-dens[6]       18:dens[2]-dens[7]       19:dens[2]-dens[8]       20:dens[2]-dens[9]       21:dens[2]-dens[10]      22:dens[2]-dens[11]      23:dens[3]-dens[3]       24:dens[3]-dens[4]       25:dens[3]-dens[5]       26:dens[3]-dens[6]       27:dens[3]-dens[7]       28:dens[3]-dens[8]       29:dens[3]-dens[9]       30:dens[3]-dens[10]      31:dens[3]-dens[11]      32:dens[4]-dens[4]       33:dens[4]-dens[5]       34:dens[4]-dens[6]       35:dens[4]-dens[7]       36:dens[4]-dens[8]       37:dens[4]-dens[9]       38:dens[4]-dens[10]      39:dens[4]-dens[11]      40:dens[5]-dens[5]       41:dens[5]-dens[6]       42:dens[5]-dens[7]       43:dens[5]-dens[8]       44:dens[5]-dens[9]       45:dens[5]-dens[10]      46:dens[5]-dens[11]      47:dens[6]-dens[6]       48:dens[6]-dens[7]       49:dens[6]-dens[8]       50:dens[6]-dens[9]       51:dens[6]-dens[10]      52:dens[6]-dens[11]      53:dens[7]-dens[7]       54:dens[7]-dens[8]       55:dens[7]-dens[9]       56:dens[7]-dens[10]      57:dens[7]-dens[11]      58:dens[8]-dens[8]       59:dens[8]-dens[9]       60:dens[8]-dens[10]      61:dens[8]-dens[11]      62:dens[9]-dens[9]       63:dens[9]-dens[10]      64:dens[9]-dens[11]      65:dens[10]-dens[10]     66:dens[10]-dens[11]     67:dens[11]-dens[11]  
    2       4.105837997327e-01       2.017770062340e-02       6.412749490543e-04      -3.870946746148e-05      -1.666970837243e-05      -7.281508537121e-06      -2.402045853676e-06      -9.673195697880e-07      -5.464479563189e-07      -2.953609689549e-07      -1.662321808292e-07       1.457256303235e-01       2.198286878958e-03       1.587926279269e-04      -7.527460040814e-05      -3.014881050589e-05      -1.063734652751e-05      -4.557533915866e-06      -2.197363497464e-06      -1.151910574853e-06      -6.514957503147e-07       4.323732749974e-02       1.747804351633e-03      -1.208169948397e-04      -1.219963208659e-04      -4.807270263368e-05      -1.963402041552e-05      -9.261424559222e-06      -4.797369820200e-06      -2.665002015327e-06       1.985720401081e-02       8.605557729378e-04      -1.740477124390e-04      -1.223466754222e-04      -5.167542922312e-05      -2.314347913768e-05      -1.166969442432e-05      -6.371656357939e-06       1.111455517790e-02       4.600067003003e-04      -1.626500608861e-04      -1.095937509610e-04      -4.931989564903e-05      -2.357330479773e-05      -1.249519327592e-05       7.020829682096e-03       2.717586342523e-04      -1.383897455109e-04      -9.492907933590e-05      -4.497918505829e-05      -2.257672306319e-05       4.804378088585e-03       1.746610912541e-04      -1.146224721327e-04      -8.154766604290e-05      -4.028549967108e-05       3.478322943008e-03       1.202395293070e-04      -9.433755882276e-05      -7.014144105234e-05       2.625493168407e-03       8.755895686232e-05      -7.771855098595e-05       2.046255053922e-03       6.677947975217e-05       1.635738628071e-03 
    3       6.475756733574e-01       1.841342856012e-02      -2.126073529788e-03       1.151974732673e-05       8.061395347289e-07      -1.582824582648e-06      -7.128130223080e-07       3.385941984777e-08      -5.782769821534e-08      -3.634117681071e-08      -1.899216395211e-08       2.544506677275e-01       3.969728938969e-04       4.461770043217e-04      -3.228394512174e-05      -1.362394933323e-05      -3.912505313453e-06      -1.435119007844e-06      -6.113748227847e-07      -2.883952635878e-07      -1.432332092181e-07       7.984251575247e-02       2.643323319789e-03       8.047341182524e-05      -9.412314068384e-05      -3.554958664481e-05      -1.234105749062e-05      -5.128586118040e-06      -2.387678571302e-06      -1.207545743855e-06       3.842912569091e-02       1.755258711899e-03      -9.669794811612e-05      -1.252479812758e-04      -4.872619911340e-05      -1.910781468226e-05      -8.647024762787e-06      -4.298745181340e-06       2.199927897060e-02       1.059852425813e-03      -1.525733999140e-04      -1.308077746737e-04      -5.408304578050e-05      -2.309791864669e-05      -1.113867108857e-05       1.403681920170e-02       6.656525684277e-04      -1.585646414158e-04      -1.250207908007e-04      -5.472409645102e-05      -2.491402263625e-05       9.650161952967e-03       4.416423938957e-04      -1.466800805929e-04      -1.150757765353e-04      -5.288711753292e-05       7.001697516132e-03       3.085003400093e-04      -1.295749095613e-04      -1.041860395407e-04       5.289938168251e-03       2.254392676040e-04      -1.121150537148e-04       4.124153697664e-03       1.712708039028e-04       3.296725745045e-03 
    4       8.779040610881e-01       1.487748194307e-02      -2.876450763274e-03       4.302870621204e-06       1.792432656698e-06      -4.255782488282e-07      -1.069236745993e-07       9.458845920409e-08      -6.098402510409e-08      -3.802018815381e-08      -2.034276534954e-08       3.619310898028e-01       4.431785420150e-04       5.578943030144e-04      -2.026945778888e-05      -5.052377725395e-06      -1.226316968656e-06      -3.907538092965e-07      -1.509182728205e-07      -6.709262896366e-08      -2.921859007117e-08       1.229131011209e-01       2.495924522342e-03       3.090777681115e-04      -5.545269271673e-05      -2.178872217927e-05      -6.392944030738e-06      -2.331328961911e-06      -9.757469737380e-07      -4.506879707240e-07       6.099074311587e-02       2.511595395240e-03       6.475020079999e-05      -1.019242132946e-04      -3.789635930320e-05      -1.293267048139e-05      -5.233769420781e-06      -2.365688254141e-06       3.578076672622e-02       1.765972813603e-03      -6.549323920098e-05      -1.261937211602e-04      -4.877408792216e-05      -1.852010986985e-05      -8.100781720191e-06       2.314335204966e-02       1.197561226829e-03      -1.201129260026e-04      -1.340001975619e-04      -5.467579915701e-05      -2.248413834393e-05       1.602948335180e-02       8.299699312152e-04      -1.362466355501e-04      -1.326140843630e-04      -5.697951332383e-05       1.167857264456e-02       5.948220997305e-04      -1.343486309375e-04      -1.266403481160e-04       8.844238640362e-03       4.410349421828e-04      -1.246023107100e-04       6.904410462529e-03       3.374498160469e-04       5.523282179434e-03 
    5       1.097989388763e+00       9.834673901903e-03      -1.174275931860e-03       4.925427854390e-06      -2.088929800318e-07      -7.609465339724e-08       1.189121576065e-07       1.358224010950e-07      -9.478788078137e-09      -1.232598040203e-08      -6.398559979100e-09       4.795964946509e-01       3.748607730212e-03       4.896258445658e-04      -1.873601533185e-05      -1.540698163844e-06      -3.571326206129e-07      -9.992937969321e-08      -3.642843317057e-08      -1.478419481100e-08      -1.702162855895e-08       1.723476769178e-01       1.425147155113e-03       4.895268640296e-04      -2.866241077084e-05      -1.195983179049e-05      -2.978282111642e-06      -9.502370584139e-07      -3.576197155083e-07      -1.518532694249e-07       8.657991351656e-02       2.805138836579e-03       2.521616273053e-04      -7.085823311758e-05      -2.642715515866e-05      -7.822492548814e-06      -2.821375310221e-06      -1.158487871977e-06       5.185873122702e-02       2.391373937246e-03       7.309027043430e-05      -1.062053494746e-04      -3.935225660776e-05      -1.323787779470e-05      -5.237981383362e-06       3.404107909967e-02       1.779114591059e-03      -3.056433881976e-05      -1.265161497230e-04      -4.879357676055e-05      -1.806823808043e-05       2.379442804864e-02       1.300000610667e-03      -8.250583755928e-05      -1.352543670981e-04      -5.477824167832e-05       1.743397857101e-02       9.626275029037e-04      -1.043105307345e-04      -1.365847857020e-04       1.324951157368e-02       7.287154446371e-04      -1.095892777022e-04       1.036667311836e-02       5.648720720128e-04       8.304896332676e-03 
    6       1.307204243408e+00       6.592944455338e-03       7.859181764956e-04       6.064627444965e-06      -8.527564855355e-07      -3.411552852538e-08      -7.657464605639e-08       8.596994533353e-08       1.580617315636e-09      -2.665374348185e-09      -8.348547645286e-10       6.009700319443e-01       6.193593906640e-03       3.773959401327e-04      -9.131976422054e-06      -2.958763054933e-07      -1.012439087508e-07      -2.720241856165e-08      -8.032455358264e-09      -3.696501124000e-09       6.162438269854e-09       2.271250171121e-01       2.414016849507e-04       6.022346275082e-04      -1.808083783737e-05      -6.021186797096e-06      -1.301398105807e-06      -3.620969795294e-07      -1.224923708476e-07      -4.837895219990e-08       1.148417263529e-01       2.523785186699e-03       4.227759384518e-04      -4.396966033400e-05      -1.714413012167e-05      -4.408390006963e-06      -1.412301545565e-06      -5.262509307878e-07       6.975648177554e-02       2.772128394488e-03       2.325084449912e-04      -8.064339714804e-05      -2.954434177069e-05      -8.790864681119e-06      -3.138348702913e-06       4.642092952618e-02       2.306480862309e-03       9.367791807016e-05      -1.090307700741e-04      -4.047517741336e-05      -1.347032618168e-05       3.276777276471e-02       1.793787721315e-03       7.268096757148e-06      -1.266893666517e-04      -4.890563340583e-05       2.416746379888e-02       1.380685322781e-03      -4.160429758452e-05      -1.357399451688e-04       1.844796610478e-02       1.072052957252e-03      -6.649182829295e-05       1.447706636681e-02       8.452826564762e-04       1.162141113133e-02 
    7       1.505957481897e+00       4.089424218921e-03       1.461463648311e-03       2.102445269573e-08      -5.800795352449e-07      -9.221621492974e-09      -6.389721235353e-08       3.553579540342e-08      -3.299500918166e-09      -3.274296133510e-10      -4.489968696398e-11       7.110968420793e-01       3.877988979652e-03       2.713353203074e-04       5.037473962213e-06       6.368763890127e-08      -2.674556480875e-08      -3.880843986171e-09      -1.313792074685e-09      -7.095076281135e-10      -1.204890421096e-09       2.838608284480e-01      -7.636385072431e-05       6.419143375092e-04      -1.764616817023e-05      -2.735798785040e-06      -5.457478837986e-07      -1.318546098764e-07      -4.014982540991e-08      -1.515917563013e-08       1.457867749171e-01       1.789173534855e-03       5.566092626092e-04      -2.643304060997e-05      -1.050545162835e-05      -2.369354221190e-06      -6.720548364229e-07      -2.270341570933e-07       8.919862183050e-02       2.815820094568e-03       3.875514691039e-04      -5.645039436804e-05      -2.106057104539e-05      -5.551414454042e-06      -1.783336098456e-06       6.002070180771e-02       2.686731115594e-03       2.343211004289e-04      -8.738605182444e-05      -3.188816793713e-05      -9.534389731526e-06       4.277078827248e-02       2.247994365127e-03       1.219765362664e-04      -1.111353598797e-04      -4.144921677789e-05       3.176635829752e-02       1.809551945171e-03       4.774908866926e-05      -1.268581263526e-04       2.436942193556e-02       1.447158158745e-03       1.890585230479e-06       1.919151514337e-02       1.164401644203e-03       1.544476754787e-02 
    8       1.694978005902e+00       2.430910720937e-03       9.825456532501e-04      -6.118579564107e-07      -1.955819883579e-07      -7.396690077632e-09       7.455084301403e-08       1.579464284760e-08       1.324473446596e-09      -1.386793405002e-09       6.928322342980e-10       8.225610971991e-01      -1.591689931935e-03       1.526602331882e-04       1.213060285235e-05       1.166015265889e-07      -8.655710822146e-09      -7.828242368633e-09      -6.713743192019e-11      -5.809702099784e-10      -7.500281259132e-09       3.389717618577e-01       9.861262207246e-04       6.072118823030e-04      -1.869128261828e-05      -1.044917234285e-06      -2.233672271507e-07      -4.642326740843e-08      -1.289323534874e-08      -5.173317915387e-09       1.793913392939e-01       8.911415128487e-04       6.490550011439e-04      -1.837339607700e-05      -6.084077231558e-06      -1.232088974073e-06      -3.084310997185e-07      -9.433078941446e-08       1.100942915330e-01       2.519667307717e-03       5.224569230394e-04      -3.753146085015e-05      -1.439265987648e-05      -3.382657149408e-06      -9.753173393702e-07       7.465759573413e-02       2.856762167690e-03       3.754375698074e-04      -6.597777441880e-05      -2.415118045306e-05      -6.500260706530e-06       5.364615972166e-02       2.605224979732e-03       2.497251221508e-04      -9.236907235422e-05      -3.378334503989e-05       4.011852091382e-02       2.207849911122e-03       1.558734129682e-04      -1.128315065758e-04       3.093818749843e-02       1.826181633736e-03       9.071758179555e-05       2.445951571307e-02       1.503926312049e-03       1.974112976875e-02 
    9       1.875060876038e+00       1.454867036478e-03       2.167194437159e-04       7.269224799036e-07      -4.066432158988e-09       3.268325544851e-09       3.899829978822e-08       2.189761031022e-10      -4.034288029518e-09       6.620651036972e-10      -6.639478121254e-10       9.379113127405e-01      -4.995015124305e-03       6.746503382710e-05       8.706166052961e-06       8.143695160344e-08      -1.015661497508e-09       6.852849727492e-09       8.174273618020e-10      -1.301130727230e-09       8.789242382752e-09       3.915974759232e-01       3.091591633575e-03       5.172242465339e-04      -1.540065208129e-05      -2.297152918584e-07      -8.894828605154e-08      -1.607626577526e-08      -3.569834940569e-09      -2.458286432570e-09       2.152564595670e-01       1.875156419330e-04       7.002835546223e-04      -1.689057007918e-05      -3.277729126966e-06      -6.261409665528e-07      -1.376458529300e-07      -3.836716810123e-08       1.324580741847e-01       1.962794488712e-03       6.301754502548e-04      -2.523466117517e-05      -9.449253581314e-06      -2.007776652090e-06      -5.184536964918e-07       9.023399104297e-02       2.792988499390e-03       5.054942837547e-04      -4.763300795658e-05      -1.769345062130e-05      -4.309932649424e-06       6.527285570592e-02       2.822567872507e-03       3.798008871734e-04      -7.335474112020e-05      -2.668391540620e-05       4.912297045564e-02       2.537773702329e-03       2.745248373480e-04      -9.625084519170e-05       3.807952766644e-02       2.180649143971e-03       1.941675361239e-04       3.022795780491e-02       1.843549868197e-03       2.447315843698e-02 
   10       2.046979272373e+00       8.248820878361e-04      -2.369598745610e-04       1.733301649310e-07       2.612743642638e-08      -1.018568460323e-09      -7.786495960219e-08       3.678962067614e-10       4.286681690037e-09       2.265337616830e-09      -6.624555821837e-10       1.045330495101e+00      -3.364320101657e-03       3.705273972115e-05       7.914974353077e-07       4.685626324578e-08      -6.996526929133e-10      -1.156567953235e-08       4.448565551359e-10      -3.150862349667e-09      -7.016027501937e-09       4.441503484916e-01       5.241407157515e-03       4.122943549908e-04      -6.918077282499e-06       1.104374769323e-07      -3.558738870090e-08      -4.916392885811e-09      -7.186452022250e-10      -9.846165348932e-10       2.524861724721e-01      -3.447243804670e-06       7.099554412203e-04      -1.799331849783e-05      -1.567718894525e-06      -3.131631476629e-07      -5.967601792988e-08      -1.537273784503e-08       1.563095934255e-01       1.282671341486e-03       7.091333547090e-04      -1.902392876051e-05      -5.928072865384e-06      -1.168506954205e-06      -2.694781671814e-07       1.067211621687e-01       2.512245679442e-03       6.176423056778e-04      -3.376720809072e-05      -1.256108278502e-05      -2.797771428195e-06       7.757179421409e-02       2.876723588676e-03       5.037603588082e-04      -5.616468099442e-05      -2.050897830990e-05       5.869731851527e-02       2.769383436483e-03       3.961153059086e-04      -7.921490437208e-05       4.572511479139e-02       2.484392293286e-03       3.062387561990e-04       3.644467252805e-02       2.162863425412e-03       2.960225868916e-02 
   11       2.211453034804e+00       4.742267568391e-04      -2.999036586373e-04      -1.881316377446e-07       1.807619405967e-08       3.717958147378e-10      -1.180639669054e-08      -8.902053661378e-10       7.345812696951e-09       2.880164374465e-09      -4.294002489718e-10       1.148276351224e+00       1.220857403076e-03       1.812329212889e-05      -4.437433009178e-06       1.710463166454e-08      -1.458806847819e-09       1.073642928663e-08       1.964736159354e-09      -5.161831880607e-09       6.104174613607e-10       5.000991618418e-01       6.351943755437e-03       3.265868470681e-04       3.681235244230e-06       2.213473278467e-07      -1.305089264740e-08      -1.505428345666e-09       1.753793784863e-10      -1.140120815548e-09       2.898862510073e-01       4.957663333234e-04       6.789128907330e-04      -1.816223874032e-05      -5.719991149169e-07      -1.547008046292e-07      -2.519293324786e-08      -6.107894905691e-09       1.815834138543e-01       6.451822362554e-04       7.597628832121e-04      -1.719688056213e-05      -3.497035751941e-06      -6.703074552372e-07      -1.378001275401e-07       1.241296562049e-01       2.066004856956e-03       7.088225709052e-04      -2.464664569472e-05      -8.619680039834e-06      -1.786673482207e-06       9.050305368515e-02       2.765701959234e-03       6.157806214517e-04      -4.203190358641e-05      -1.535662454256e-05       6.878151478027e-02       2.883440958668e-03       5.143345849582e-04      -6.327738786837e-05       5.381703941627e-02       2.715893309140e-03       4.213250891028e-04       4.306145271134e-02       2.443029616180e-03       3.509065356687e-02 
